community_names,purchased_from,Energy Source
Klawock,BLACK BEAR,Hydro
Klawock,BLACK BEAR LAKE,Hydro
Klawock,Intertie from Craig,Hydro
Klukwan,Southern Energy/AP&T,Hydro
Klukwan,Intertie from Chilkat Valley,Hydro
Kobuk,AVEC,Diesel
Kobuk,Alaska Village Electric Coop,Diesel
Kobuk,Intertie from Shungnak.,Diesel
Kongiganak,Chalista Corporation,Wind
Kongiganak,Calista Corporation,Wind
Kongiganak,CALISTA CORPORATION,Wind
Lower Kalskag,Intertie from Kalskag.,Diesel
Mentasta Lake,Intertie from Slana,Diesel
Mentasta Lake,Intertie from Craig,Hydro
Napakiak,BETHEL UTILITIES,Diesel
Napakiak,BETHEL UTILITIES CORP,Diesel
Napakiak,BETHEL UTILITIES CORP.,Diesel
Napakiak,BETHEL UTILITIES CORPORATION,Diesel
Napakiak,BETHEL UTILTIES CORP,Diesel
Napakiak,bethel utilities,Diesel
Napakiak,Bethel Utilities,Diesel
Napakiak,Bethel Utiltiies Corp,Diesel
Napakiak,Bethel Utiltiies,Diesel
Napakiak,Bethel,Diesel
Napakiak,Bethel Utilities Corporation,Diesel
Napakiak,BethelUtilitiesCorporation,Diesel
Napakiak,BethelUtilitiesCorp,Diesel
Napakiak,BETHELUTILITIESCORP,Diesel
Napakiak,BETHELUTILITIESCORPORATION,Diesel
Napakiak,Bethel Utilities Corp,Diesel
Napakiak,Bethel Utililities Corporation,Diesel
Napakiak,Bethel Utilities Corp.,Diesel
Napakiak,BETHEL UTILTIIES CORP,Diesel
Napakiak,Bethel Utililities Corporation,Diesel
Napakiak,Bethel Utilities Corp,Diesel
Napakiak,Bethel Utilities Corp.,Diesel
Napakiak,Bethel Utiltiies,Diesel
Nightmute,Intertie from Toksook Bay.,Diesel
Nome,BANNER WIND LLC,Wind
Nome,"BannerWind,LLC",Wind
Nome,BANNERWINDLLC,Wind
Nome,BANNER WINDLLC,Wind
Nome,"BANNER WIND, LLC",Wind
Nome,"BANNER WIND,LLC",Wind
Nome,Banner Wind,Wind
Nome,BANNER WIND,Wind
Nunapitchuk,Intertie from Kasigluk.,Diesel
Ouzinkie,Focus Energy Corporation,Diesel
Ouzinkie,Focus Energy Corp.,Diesel
Ouzinkie,Focus Energy Corporation,Diesel
Ouzinkie,FOCUS ENERGY CORP,Diesel
Ouzinkie,FocusEnergyCorporation,Diesel
Ouzinkie,FocusEnergyCorp,Diesel
Ouzinkie,FOCUS ENERGY CORPORATION,Diesel
Ouzinkie,FocusEnergy,Diesel
Ouzinkie,FOCUSENERGYCORP,Diesel
Ouzinkie,FOCUS ENERGY CORP,Diesel
Ouzinkie,FOCUS ENERGY GROUP,Diesel
Ouzinkie,FOCUSENERGYCORPORATION,Diesel
Ouzinkie,FocusEnergyCorporatoin,Diesel
Pitkas Point,Intertie from Saint Mary's.,Diesel
Saint Paul,TDX Generating,Wind
Sand Point,Aleutian Wind Energy,Wind
Sand Point,ALEUTIAN WIND ENERGY,Wind
Sand Point,Aluetian Wind Energy,Wind
Skagway,GOAT LAKE,Hydro
Skagway,DEWEY LAKE & GOAT LAKE,Hydro
Skagway,GOAT LAKE & DEWEY LAKE,Hydro
Skagway,Goat Lake,Hydro
Skagway,Goat Lake Hydro,Hydro
Skagway,GOAT LAKE HYDRO,Hydro
Skagway,GoatLakeHydro,Hydro
Skagway,GOAT LK HYDRO,Hydro
Skagway,GoatLakeHydro,Hydro
Skagway,GoatLakeHyrdo/KasidayaHydro,Hydro
Skagway,GOAT LAKE HYDRO,Hydro
Skagway,GoatLake/KasidayaHYDRO,Hydro
Skagway,GOAT LAKE-KASIDAYA HYDRO,Hydro
Skagway,GoatLake/KasidayaHydro,Hydro
Skagway,GoatLake/Kasidaya,Hydro
Skagway,GOATLAKEHYDRO/KASIDAYAHYDRO,Hydro
Skagway,GOATLAKEHYDRO/KASIDAYA,Hydro
Skagway,GOATLAKE/KASIDAYA,Hydro
Skagway,GOAT LAKE/KASIDAYA HYDRO,Hydro
Skagway,GOAT LAKE/KASIDAYA (HYDRO),Hydro
Skagway,GOAT LAKE & KASIDAYA-HYDRO,Hydro
Skagway,GOAT LAKE & KASIDAYA - HYDRO,Hydro
Skagway,GOAT LAKE&KASIDAYA- HYDRO,Hydro
Skagway,GOAT LAKE/KASIDAYA HYDRO,Hydro
Skagway,GOAT LAKE/KASIDAYA-BOTH HYDRO,Hydro
Skagway,GOAT LAKE & KASIDAYA- HYDRO,Hydro
Skagway,Goat Lake Hydro/Kasidaya Hydro,Hydro
Skagway,Goat Loake Hydro/Kasidaya Hydr,Hydro
Skagway,Goat Lake Hydro-Kasidaya Hydro,Hydro
Skagway,Goat Lake Hydro/Kasidaya Hydro,Hydro
Skagway,Goat Lake/Kasidaya Hydro,Hydro
Skagway,GOAT LAKE HYDRO/KASIDAYA HYDRO,Hydro
Skagway,GoatLakeHyrdo,Hydro
Skagway,GoatLakeHydro/KasidayaHydro,Hydro
Skagway,Goat Lake Hyrdo/Kasidaya Hydro,Hydro
Tetlin,Intertie from Tok,Diesel
"Thorne Bay, Kasaan",ALASKA POWER CO,Hydro
"Thorne Bay, Kasaan",ALASKA POWER CO.,Hydro
"Thorne Bay, Kasaan",ALASKA POWER COMPANY,Hydro
"Thorne Bay, Kasaan",ALASKA POWER & TELEPHONE,Hydro
"Thorne Bay, Kasaan",APC,Hydro
