City,System Type,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Gustavus,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Haines,Pressure/Gravity,0,6900,0,260000,0,0,0,0,FALSE,FALSE
Halibut Cove,Watering Point,,,,,,,,,FALSE,FALSE
Happy Valley,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Harding-Birch Lakes,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Healy Lake,Washeteria,,,,,,,,,FALSE,FALSE
Hollis,None,,,,,,,,,FALSE,FALSE
Holy Cross,Circulating/Gravity,704,5812,758,65948,56710,395681,0,0,FALSE,FALSE
Hoonah,Pressure/Gravity,5880,2324.235766,0,163503.1565,0,0,0,0,FALSE,FALSE
Hooper Bay,Circulating/Vacuum,33890,43350,0,430807.8767,0,0,0,0,FALSE,FALSE
Hope,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Hughes,Circulating/Pressure,,,,,,,,,TRUE,TRUE
Huslia,Circulating/Gravity,4215,6614,1093,96387.41887,46357,285680,0,0,FALSE,FALSE
Hydaburg,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Hyder,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Igiugig,Wells/ST/DF,,,,,,,,,TRUE,FALSE
Iliamna,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Juneau,Pressure/Gravity,50231,100753.5766,0,945058.5055,0,0,0,0,FALSE,FALSE
Kachemak,Closed Haul/Closed Haul,,,,,,,,,FALSE,FALSE
Kake,Pressure/Gravity,1200,876.7883212,0,12463.77884,0,0,0,0,FALSE,FALSE
Kaktovik,Circulating/Gravity,11320,0,0,532062.7885,0,0,0,0,FALSE,FALSE
Kaltag,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Karluk,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Kasaan,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Kasigluk,Circulating/Pressure,,,,,,,,,FALSE,FALSE
Kasilof,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Kenny Lake,Watering Point,,,,,,,,,FALSE,FALSE
Ketchikan,Pressure/Gravity,,,,,,,,,FALSE,FALSE
