#,,,,,
#,,,,,
#,,Data,,,
Community,Data Year,Sum - Residential Megawatthours,Sum - Commercial Megawatthours,Sum - Industrial Megawatthours,Sum - Total Megawatthours
Copper Valley,2009,17553,47377,,64930
Copper Valley,2010,17793,58457,,76250
Copper Valley,2011,18193,62228,,80421
Copper Valley,2012,17517,65757,,83274
Copper Valley,2013,16731,66614,,83345
Copper Valley,2014,16106,64974,,81080
Cordova,2003,5435,11386,4986,21807
Cordova,2004,5396,11318,5118,21832
Cordova,2005,5284,11706,6284,23274
Cordova,2006,5281,11851,6161,23293
Cordova,2007,5104,12308,7259,24671
Cordova,2008,4898,11644,6940,23482
Cordova,2009,4969,11514,7439,23922
Cordova,2010,5103,11612,8414,25129
Cordova,2011,5069,12298,8004,25371
Cordova,2012,4998,12611,8004,25613
Cordova,2013,4660,12526,9316,26502
Cordova,2014,4532,11919,9227,25678
Deadhorse,2003,,24616,,24616
Deadhorse,2004,0,26183,0,26183
Deadhorse,2005,0,28138,0,28138
Deadhorse,2006,0,30384,0,30384
Deadhorse,2007,0,39149,0,39149
Deadhorse,2008,0,41000,0,41000
Deadhorse,2009,,48731,,48731
Deadhorse,2010,,55674,,55674
Deadhorse,2011,,57192,,57192
Deadhorse,2012,0,66768,0,66768
Deadhorse,2013,0,64780,0,64780
Deadhorse,2014,,68810,,68810
Deering,2003,258,385,0,643
Deering,2004,270,407,0,677
Deering,2005,239,438,0,677
Deering,2006,241,465,0,706
Deering,2007,219,419,0,638
Deering,2008,207,448,0,655
Deering,2009,194,462,,656
Deering,2010,177,416,,593
Deering,2011,198,466,,664
Dillingham,2003,6022,8719,2069,16810
Dillingham,2004,6186,9198,2244,17628
Dillingham,2005,6046,8987,2154,17187
Dillingham,2006,5997,9254,2180,17431
Dillingham,2007,5945,6579,4532,17056
Dillingham,2008,6000,5000,6000,17000
Dillingham,2009,5744,4335,7092,17171
Dillingham,2010,5641,4800,7559,18000
Dillingham,2011,5696,2997,9326,18019
Egegik,2003,130,352,157,639
Egegik,2004,135,355,151,641
Egegik,2005,137,360,150,647
Egegik,2006,137,360,150,647
Egegik,2007,121,331,148,600
Egegik,2008,121,347,189,657
Egegik,2009,121,367,96,584
Egegik,2010,142,531,0,673
Egegik,2011,143,349,79,571
Elfin Cove,2003,184,165,0,349
Elfin Cove,2004,86,232,0,318
Elfin Cove,2005,88,214,0,302
Elfin Cove,2006,97,205,0,302
Elfin Cove,2007,93,203,0,296
Elfin Cove,2008,107,227,0,334
Elfin Cove,2009,88,228,,316
Elfin Cove,2010,82,177,,259
Elfin Cove,2011,73,168,,241
Fairbanks,2003,301916,134977,665663,1102556
Fairbanks,2004,316259,142209,687670,1146138
Fairbanks,2005,318085,142695,712557,1173337
Fairbanks,2006,323153,143844,779046,1246043
Fairbanks,2007,320632,143962,884656,1349250
Fairbanks,2008,310579,141461,882683,1334723
Fairbanks,2009,307809,141444,861230,1310483
Fairbanks,2010,304785,140257,843125,1288167
Fairbanks,2011,305090,138534,846303,1289927
Fairbanks,2012,301535,136451,855521,1293507
Fairbanks,2013,286768,133156,833237,1253161
Fairbanks,2014,276627,129773,812963,1219363
Fort Yukon,2003,957,786,539,2282
Fort Yukon,2004,1051,1507,,2558
Fort Yukon,2005,1058,1453,0,2511
Fort Yukon,2006,1053,1627,0,2680
Fort Yukon,2007,1000,1721,0,2721
Fort Yukon,2008,980,1328,0,2308
Fort Yukon,2009,976,1335,,2311
Fort Yukon,2010,1075,1623,,2698
Fort Yukon,2011,1105,1649,,2754
Galena,2003,1021,1942,5337,8300
Galena,2004,1068,2052,5378,8498
Galena,2005,1021,1942,5337,8300
Galena,2006,1021,1942,5337,8300
Galena,2007,1190,3155,,4345
Galena,2008,1086,2504,657,4247
Galena,2009,972,2904,,3876
Galena,2010,861,3270,0,4131
Galena,2011,902,3567,,4469
Gustavus,2003,878,631,0,1509
Gustavus,2004,895,622,0,1517
Gustavus,2005,834,604,0,1438
Gustavus,2006,810,660,0,1470
Gustavus,2007,805,723,0,1528
Gustavus,2008,811,754,0,1565
Gustavus,2009,752,797,,1549
Gustavus,2010,860,841,,1701
Gustavus,2011,912,913,,1825
Homer,2003,160667,167954,150355,478976
Homer,2004,168678,171334,154991,495003
Homer,2005,170004,170239,163066,503309
Homer,2006,174054,173653,145675,493382
Homer,2007,173197,174380,182065,529642
Homer,2008,180989,181209,159829,522027
Homer,2009,176400,178680,128069,483149
Homer,2010,174990,178271,116657,469918
Homer,2011,178368,177869,118432,474669
Homer,2012,180859,181734,127076,489669
Homer,2013,179868,180983,120722,481573
Homer,2014,169999,175624,119489,465112
Hughes,2003,67,106,40,213
Hughes,2004,68,146,39,253
Hughes,2005,73,150,38,261
Hughes,2006,93,112,57,262
Hughes,2007,98,89,54,241
Hughes,2008,104,122,,226
Hughes,2009,115,156,,271
Hughes,2010,118,163,,281
Hughes,2011,139,160,,299
Iguigig,2003,59,138,0,197
Iguigig,2004,54,129,0,183
Iguigig,2005,55,132,0,187
Iguigig,2006,52,142,0,194
Iguigig,2007,47,136,0,183
Iguigig,2008,56,146,0,202
Iguigig,2009,69,152,,221
Iguigig,2010,90,155,,245
Iguigig,2011,83,190,,273
INN,2003,911,1170,0,2081
INN,2004,953,1236,0,2189
INN,2005,877,1289,0,2166
INN,2006,914,1446,0,2360
INN,2007,1005,1617,0,2622
INN,2008,1093,1698,0,2791
INN,2009,932,1450,,2382
INN,2010,976,1675,,2651
INN,2011,972,2177,,3149
IPEC,2003,5258,4755,1108,11121
IPEC,2004,5178,4370,1031,10579
IPEC,2005,4970,4343,909,10222
IPEC,2006,4934,5257,873,11064
IPEC,2007,4805,4693,853,10351
IPEC,2008,4787,4575,896,10258
IPEC,2009,4688,4300,903,9891
IPEC,2010,4645,4301,889,9835
IPEC,2011,4764,4411,1155,10330
Juneau,2003,131006,121868,54714,307588
Juneau,2004,130627,122268,54617,307512
Juneau,2005,132002,127770,53575,313347
Juneau,2006,140516,134612,71712,346840
Juneau,2007,142018,132689,70054,344761
Juneau,2008,128495,113434,68247,310176
Juneau,2009,130203,119918,96385,346506
Juneau,2010,131097,121319,118427,370843
Juneau,2011,139936,126493,98281,364710
Juneau,2012,142255,129783,127106,399144
Juneau,2013,141237,129284,106484,377005
Juneau,2014,141151,125452,132889,399492
Ketchikan,2003,58668,65332,21001,145001
Ketchikan,2004,59636,65417,20587,145640
Ketchikan,2005,58656,66669,19919,145244
Ketchikan,2006,62141,68837,21182,152160
Ketchikan,2007,64652,69286,20865,154803
Ketchikan,2008,68287,69778,21275,159340
Ketchikan,2009,68777,68155,21215,158147
Ketchikan,2010,67041,67963,21981,156985
Ketchikan,2011,70815,70657,23242,164714
Ketchikan,2012,74274,73463,24453,172190
Ketchikan,2013,71044,73932,25306,170282
Ketchikan,2014,70161,74369,23409,167939
King Cove,2003,803,2574,0,3377
King Cove,2004,818,2312,0,3130
King Cove,2005,835,2376,0,3211
King Cove,2006,784,2230,0,3014
King Cove,2007,734,2655,,3389
King Cove,2008,931,2880,0,3811
King Cove,2009,900,2947,,3847
King Cove,2010,866,2465,,3331
King Cove,2011,1224,2450,,3674
Kodiak,2003,32361,0,90194,122555
Kodiak,2004,32286,21558,74668,128512
Kodiak,2005,31551,20528,78779,130858
Kodiak,2006,32454,21354,82520,136328
Kodiak,2007,32750,21344,84047,138141
Kodiak,2008,32883,21171,82218,136272
Kodiak,2009,33385,20736,80493,134614
Kodiak,2010,33653,21088,84344,139085
Kodiak,2011,34125,21537,86308,141970
Kodiak,2012,35273,22282,87040,144595
Kodiak,2013,34387,21450,87337,143174
Kodiak,2014,34366,22546,90135,147047
Kokhanok,2003,171,86,0,257
Kokhanok,2004,167,197,0,364
Kokhanok,2005,163,209,0,372
Kokhanok,2006,172,253,0,425
Kokhanok,2007,173,230,0,403
Kokhanok,2008,178,226,0,404
Kokhanok,2009,192,220,,412
Kokhanok,2010,179,219,,398
Kokhanok,2011,178,226,,404
Kotlik,2003,714,792,0,1506
Kotlik,2004,600,710,0,1310
Kotlik,2005,550,668,0,1218
Kotlik,2006,651,790,0,1441
Kotlik,2007,441,487,0,928
Kotzebue,2003,7984,12746,0,20730
Kotzebue,2004,8198,12568,0,20766
Kotzebue,2005,8329,13225,0,21554
Kotzebue,2006,8264,12722,0,20986
Kotzebue,2007,8005,12547,0,20552
Kotzebue,2008,7996,12384,0,20380
Kotzebue,2009,7902,12298,,20200
Kotzebue,2010,7669,12209,,19878
Kotzebue,2011,7678,13285,,20963
Kotzebue,2012,7887,13270,,21157
Kotzebue,2013,7451,12912,,20363
Kotzebue,2014,7275,12657,,19932
Kwethluk,2003,648,410,0,1058
Kwethluk,2004,631,507,0,1138
Kwethluk,2005,640,340,0,980
Kwethluk,2006,640,340,0,980
Kwethluk,2007,643,407,0,1050
Kwethluk,2008,650,351,0,1001
Kwethluk,2009,603,373,0,976
Kwethluk,2010,620,337,0,957
Kwethluk,2011,624,391,0,1015
Kwigillingok,2003,437,193,40,670
Kwigillingok,2004,457,204,40,701
Kwigillingok,2005,457,210,41,708
Kwigillingok,2006,457,357,0,814
Kwigillingok,2007,472,299,,771
Kwigillingok,2008,414,352,,766
Kwigillingok,2009,453,302,42,797
Kwigillingok,2010,506,338,47,891
Kwigillingok,2011,402,411,81,894
Larsen Bay,2003,268,290,0,558
Larsen Bay,2004,280,306,0,586
Larsen Bay,2005,363,181,0,544
Larsen Bay,2006,363,181,0,544
Larsen Bay,2007,193,471,0,664
Larsen Bay,2008,138,549,0,687
Larsen Bay,2009,310,310,,620
Larsen Bay,2010,156,470,,626
Larsen Bay,2011,172,256,,428
Manley Hot Springs,2003,124,136,0,260
Manley Hot Springs,2004,124,130,0,254
Manley Hot Springs,2005,122,118,0,240
Manley Hot Springs,2006,116,114,0,230
Manley Hot Springs,2007,112,111,0,223
Manley Hot Springs,2008,123,133,0,256
Manley Hot Springs,2009,111,164,,275
Manley Hot Springs,2010,131,237,,368
Manley Hot Springs,2011,157,177,,334
Manokotak,2003,813,316,0,1129
Manokotak,2004,850,334,0,1184
Manokotak,2005,1171,54,0,1225
Manokotak,2006,1087,42,0,1129
Manokotak,2007,884,72,0,956
Manokotak,2008,455,607,0,1062
Manokotak,2009,518,612,,1130
Manokotak,2010,516,645,,1161
Manokotak,2011,543,680,,1223
Mat-Su,2003,368675,213014,0,581689
Mat-Su,2004,393646,225030,0,618676
Mat-Su,2005,406770,237640,0,644410
Mat-Su,2006,431007,247877,0,678884
Mat-Su,2007,428929,252183,0,681112
Mat-Su,2008,442498,258426,0,700924
Mat-Su,2009,438691,260239,,698930
Mat-Su,2010,435159,256040,,691199
Mat-Su,2011,451449,265746,0,717195
Mat-Su,2012,458393,268094,0,726487
Mat-Su,2013,452533,271422,,723955
Mat-Su,2014,448552,273691,0,722243
McGrath,2003,826,1731,0,2557
McGrath,2004,775,1219,0,1994
McGrath,2005,687,1814,0,2501
McGrath,2006,712,1829,0,2541
McGrath,2007,728,1783,0,2511
McGrath,2008,688,1834,0,2522
McGrath,2009,637,1880,,2517
McGrath,2010,670,1901,,2571
McGrath,2011,710,1809,,2519
Metlakatla,2003,5608,7513,665,13786
Metlakatla,2004,5673,7575,226,13474
Metlakatla,2005,5676,7786,234,13696
Metlakatla,2006,6126,8087,0,14213
Metlakatla,2007,6180,8030,68,14278
Metlakatla,2008,6956,8647,83,15686
Metlakatla,2009,7386,9173,59,16618
Metlakatla,2010,7498,9296,51,16845
Metlakatla,2011,8455,9881,60,18396
MKEC,2003,412,430,0,842
MKEC,2004,421,484,0,905
MKEC,2005,406,570,0,976
MKEC,2006,411,550,0,961
MKEC,2007,395,560,0,955
MKEC,2008,409,523,0,932
MKEC,2009,420,530,0,950
MKEC,2010,442,519,,961
MKEC,2011,413,559,0,972
Naknek,2003,3961,14361,0,18322
Naknek,2004,4143,15174,0,19317
Naknek,2005,4019,15592,0,19611
Naknek,2006,4052,15492,0,19544
Naknek,2007,3967,15666,0,19633
Naknek,2008,3928,16562,0,20490
Naknek,2009,3789,16169,,19958
Naknek,2010,3737,16165,,19902
Naknek,2011,3509,14927,,18436
Napakiak,2003,394,192,0,586
Napakiak,2004,379,173,0,552
Napakiak,2005,361,137,0,498
Napakiak,2006,366,144,0,510
Napakiak,2007,357,105,0,462
Napakiak,2008,377,153,0,530
Napakiak,2009,398,127,,525
Napakiak,2010,371,215,0,586
Napakiak,2011,393,181,,574
Nelson Lagoon,2003,201,119,0,320
Nelson Lagoon,2004,192,135,0,327
Nelson Lagoon,2005,177,148,25,350
Nelson Lagoon,2006,191,133,21,345
Nelson Lagoon,2007,189,144,26,359
Nelson Lagoon,2008,180,151,22,353
Nelson Lagoon,2009,172,171,31,374
Nelson Lagoon,2010,162,217,0,379
Nelson Lagoon,2011,154,216,,370
Nome,2003,9156,17382,0,26538
Nome,2004,9428,17725,0,27153
Nome,2005,9464,18697,0,28161
Nome,2006,9499,18555,0,28054
Nome,2007,9275,18540,0,27815
Nome,2008,9680,28335,0,38015
Nome,2009,9279,23774,,33053
Nome,2010,9181,24105,0,33286
Nome,2011,9217,23559,,32776
Nome,2012,9780,23553,,33333
Nome,2013,9494,22347,,31841
Nome,2014,9302,20208,,29510
NSB,2003,5194,21698,0,26892
NSB,2004,5000,24000,0,29000
NSB,2005,4451,23329,,27780
NSB,2006,4466,19587,2213,26266
NSB,2007,8087,20681,0,28768
NSB,2008,7278,20425,0,27703
NSB,2009,5746,23623,,29369
NSB,2010,6385,21856,,28241
NSB,2011,5248,22662,0,27910
NSB,2012,5923,21221,,27144
NSB,2013,6018,24687,,30705
NSB,2014,6032,26433,,32465
Ouzinkie,2003,341,289,0,630
Ouzinkie,2004,346,405,0,751
Ouzinkie,2005,350,396,0,746
Ouzinkie,2006,300,400,0,700
Ouzinkie,2007,300,400,0,700
Ouzinkie,2008,267,284,0,551
Ouzinkie,2009,286,322,,608
Ouzinkie,2010,320,332,,652
Ouzinkie,2011,325,343,,668
Paxson,2003,12,216,0,228
Paxson,2004,3,206,0,209
Paxson,2005,12,216,0,228
Paxson,2006,12,205,0,217
Paxson,2007,12,205,0,217
Paxson,2008,0,180,0,180
Paxson,2009,,276,,276
Paxson,2010,1,144,,145
Paxson,2011,0,400,,400
Pedro Bay,2003,65,111,0,176
Pedro Bay,2004,68,117,0,185
Pedro Bay,2005,89,165,0,254
Pedro Bay,2006,91,167,0,258
Pedro Bay,2007,77,155,0,232
Pedro Bay,2008,65,161,0,226
Pedro Bay,2009,72,162,,234
Pedro Bay,2010,65,154,,219
Pedro Bay,2011,67,132,,199
Pelican,2003,535,422,1428,2385
Pelican,2004,682,193,848,1723
Pelican,2005,401,372,815,1588
Pelican,2006,427,381,1138,1946
Pelican,2007,437,398,1272,2107
Pelican,2008,467,375,653,1495
Pelican,2009,390,350,399,1139
Pelican,2010,326,319,36,681
Pelican,2011,333,313,0,646
Perryville,2003,198,174,0,372
Perryville,2004,207,184,0,391
Perryville,2005,207,189,0,396
Perryville,2006,300,25,0,325
Perryville,2007,294,91,0,385
Perryville,2008,252,46,0,298
Perryville,2009,227,121,,348
Perryville,2010,122,197,,319
Perryville,2011,133,158,,291
Petersburg,2003,13248,7014,15801,36063
Petersburg,2004,13133,6639,16831,36603
Petersburg,2005,13464,7187,16944,37595
Petersburg,2006,14600,7685,18035,40320
Petersburg,2007,15235,7617,19940,42792
Petersburg,2008,17767,7929,18813,44509
Petersburg,2009,20559,8634,18991,48184
Petersburg,2010,18877,8035,19400,46312
Petersburg,2011,20389,8580,21706,50675
Petersburg,2012,20803,9064,19905,49772
Petersburg,2013,20323,8977,21896,51196
Petersburg,2014,19703,9246,20201,49150
Saint Paul,2003,1040,1072,1291,3403
Saint Paul,2004,1084,1198,3143,5425
Saint Paul,2005,928,1964,2449,5341
Saint Paul,2006,903,1877,2438,5218
Saint Paul,2007,861,1912,2564,5337
Saint Paul,2008,821,2020,1902,4743
Saint Paul,2009,812,1991,1657,4460
Saint Paul,2010,841,2031,1104,3976
Saint Paul,2011,873,2442,343,3658
Seward,2003,15587,17343,21734,54664
Seward,2004,15799,8953,30774,55526
Seward,2005,15813,8149,30825,54787
Seward,2006,16374,7963,31075,55412
Seward,2007,15290,7977,33752,57019
Seward,2008,16528,7912,32899,57339
Seward,2009,16329,7756,31631,55716
Seward,2010,15880,7920,30884,54684
Seward,2011,16246,8464,32544,57254
Seward,2012,16488,8651,33599,58738
Seward,2013,15611,8392,33947,57950
Seward,2014,15265,7964,31961,55190
Sitka,2003,38973,53766,1195,93934
Sitka,2004,39761,54181,1827,95769
Sitka,2005,40027,54380,1772,96179
Sitka,2006,43274,55922,2028,101224
Sitka,2007,44738,58378,3746,106862
Sitka,2008,48589,59803,4514,112906
Sitka,2009,49265,58663,4769,112697
Sitka,2010,46120,57272,5223,108615
Sitka,2011,48297,58422,5563,112282
Sitka,2012,47899,58534,4968,111401
Sitka,2013,45559,57230,6776,109565
Sitka,2014,43985,41009,21003,105997
St. Marys,2003,129,205,0,334
St. Marys,2004,125,190,0,315
St. Marys,2005,122,169,0,291
St. Marys,2006,131,186,0,317
St. Marys,2007,65,91,0,156
Tanana,2003,452,708,0,1160
Tanana,2004,454,742,0,1196
Tanana,2005,465,764,0,1229
Tanana,2006,470,781,0,1251
Tanana,2007,452,785,0,1237
Tanana,2008,448,681,0,1129
Tanana,2009,382,702,,1084
Tanana,2010,394,704,,1098
Tanana,2011,409,704,,1113
Tatitlek,2003,129,218,0,347
Tatitlek,2004,135,230,0,365
Tatitlek,2005,141,253,0,394
Tatitlek,2006,152,245,0,397
Tatitlek,2007,149,257,0,406
Tatitlek,2008,150,218,0,368
Tatitlek,2009,133,221,,354
Tatitlek,2010,139,270,,409
Tatitlek,2011,138,244,,382
Teller,2003,276,444,0,720
Teller,2004,0,0,0,0
Tenakee Springs,2003,230,168,0,398
Tenakee Springs,2004,232,159,0,391
Tenakee Springs,2005,210,131,0,341
Tenakee Springs,2006,256,139,0,395
Tenakee Springs,2007,243,104,0,347
Tenakee Springs,2008,201,121,0,322
Tenakee Springs,2009,249,124,,373
Tenakee Springs,2010,240,113,,353
Tenakee Springs,2011,241,120,,361
Tuntutliak,2003,358,288,11,657
Tuntutliak,2004,374,304,11,689
Tuntutliak,2005,412,336,0,748
Tuntutliak,2006,389,329,0,718
Tuntutliak,2007,384,354,0,738
Tuntutliak,2008,379,365,0,744
Tuntutliak,2009,371,428,,799
Tuntutliak,2010,375,425,0,800
Tuntutliak,2011,380,421,,801
Unalakleet,2003,1551,2170,0,3721
Unalakleet,2004,1525,2293,0,3818
Unalakleet,2005,1541,2284,166,3991
Unalakleet,2006,1540,2273,0,3813
Unalakleet,2007,1461,2285,0,3746
Unalakleet,2008,1481,2531,0,4012
Unalakleet,2009,1505,2405,,3910
Unalakleet,2010,1548,2577,,4125
Unalakleet,2011,1494,2633,,4127
Unalaska,2003,4251,12072,11974,28297
Unalaska,2004,3950,12373,11974,28297
Unalaska,2005,4125,12557,17333,34015
Unalaska,2006,4310,12421,19656,36387
Unalaska,2007,4171,11708,19982,35861
Unalaska,2008,3955,12047,19550,35552
Unalaska,2009,3996,12062,18091,34149
Unalaska,2010,3954,10725,20213,34892
Unalaska,2011,3956,12051,25557,41564
Unalaska,2012,4009,11183,27024,42216
Unalaska,2013,3976,11396,29230,44602
Unalaska,2014,3703,10654,30227,44584
White Mountain,2003,275,407,25,707
White Mountain,2004,288,430,25,743
White Mountain,2005,288,442,26,756
White Mountain,2006,282,350,0,632
White Mountain,2007,272,609,,881
White Mountain,2008,236,524,0,760
White Mountain,2009,238,461,,699
White Mountain,2010,242,431,,673
White Mountain,2011,247,443,,690
Wrangell,2003,7355,14371,65,21791
Wrangell,2004,7384,11696,4318,23398
Wrangell,2005,7558,12388,4895,24841
Wrangell,2006,7935,12068,5141,25144
Wrangell,2007,9184,13128,3489,25801
Wrangell,2008,10800,12945,888,24633
Wrangell,2009,12867,14096,53,27016
Wrangell,2010,12596,14625,0,27221
Wrangell,2011,14183,19585,,33768
Wrangell,2012,15273,19919,,35192
Wrangell,2013,14362,21096,,35458
Wrangell,2014,13997,21439,,35436
Yakutat,2003,1696,3440,1069,6205
Yakutat,2004,1736,4369,0,6105
Yakutat,2005,1616,4310,0,5926
Yakutat,2006,1573,4595,0,6168
Yakutat,2007,1594,4749,0,6343
Yakutat,2008,1550,4535,0,6085
Yakutat,2009,1460,4441,,5901
Yakutat,2010,1413,4564,,5977
Yakutat,2011,1443,4566,,6009
Total Result,,25001551,33039216,15369648,73410415
