Community ,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Marshall,2.3,2.73,3.06,3.5,3.71,3.86,3.96,4.04,4.1,4.17,4.26,4.34,4.4,4.49,4.54,4.63,4.72,4.81,4.91,4.97,5.07,5.13,5.23,5.31,5.42
McCarthy,1.8,2.21,2.52,2.96,3.16,3.31,3.42,3.49,3.56,3.63,3.72,3.8,3.87,3.95,4.01,4.1,4.2,4.29,4.4,4.46,4.57,4.63,4.73,4.81,4.93
McGrath,3.21,3.71,4.07,4.55,4.78,4.93,5.05,5.13,5.19,5.27,5.36,5.44,5.51,5.6,5.65,5.75,5.84,5.94,6.04,6.1,6.2,6.26,6.37,6.44,6.55
Mekoryuk,1.83,2.17,2.43,2.78,2.95,3.07,3.15,3.21,3.26,3.32,3.39,3.45,3.5,3.57,3.61,3.68,3.75,3.83,3.91,3.95,4.03,4.08,4.16,4.22,4.31
Mendeltna,1.57,1.93,2.2,2.57,2.76,2.88,2.98,3.04,3.1,3.16,3.24,3.31,3.37,3.44,3.49,3.57,3.65,3.74,3.83,3.89,3.98,4.03,4.12,4.19,4.29
Mentasta Lake,1.62,1.99,2.27,2.66,2.84,2.97,3.07,3.14,3.2,3.27,3.35,3.42,3.48,3.55,3.6,3.69,3.77,3.86,3.95,4.01,4.11,4.16,4.26,4.33,4.43
Metlakatla,1.82,2.23,2.55,2.99,3.2,3.34,3.46,3.53,3.6,3.67,3.76,3.84,3.91,4,4.05,4.15,4.24,4.34,4.44,4.51,4.62,4.68,4.79,4.87,4.98
Minto,1.55,1.91,2.17,2.55,2.73,2.85,2.95,3.01,3.07,3.13,3.21,3.28,3.33,3.41,3.45,3.53,3.62,3.7,3.79,3.84,3.93,3.99,4.08,4.15,4.25
Mosquito Lake,1.8,2.21,2.52,2.95,3.16,3.3,3.41,3.49,3.55,3.63,3.72,3.8,3.86,3.95,4,4.1,4.19,4.29,4.39,4.46,4.56,4.62,4.73,4.81,4.93
Mountain Village,1.84,2.19,2.45,2.8,2.97,3.09,3.17,3.23,3.28,3.34,3.41,3.47,3.52,3.59,3.63,3.71,3.78,3.85,3.93,3.98,4.06,4.11,4.19,4.25,4.34
Mud Bay,1.8,2.21,2.52,2.95,3.16,3.3,3.41,3.49,3.55,3.63,3.72,3.8,3.86,3.95,4,4.1,4.19,4.29,4.39,4.46,4.56,4.62,4.73,4.81,4.93
Naknek-South Naknek-King Salmon,1.61,1.92,2.15,2.46,2.61,2.71,2.79,2.84,2.88,2.93,3,3.05,3.09,3.15,3.19,3.25,3.32,3.38,3.45,3.5,3.57,3.61,3.68,3.73,3.81
Napakiak,2.59,3.08,3.44,3.94,4.18,4.34,4.46,4.55,4.62,4.7,4.8,4.89,4.96,5.05,5.11,5.21,5.32,5.42,5.53,5.6,5.71,5.78,5.89,5.98,6.1
Napaskiak,2.13,2.53,2.83,3.25,3.44,3.57,3.67,3.74,3.8,3.87,3.95,4.02,4.08,4.16,4.2,4.29,4.37,4.46,4.55,4.61,4.7,4.76,4.85,4.92,5.02
Naukati,1.69,2.07,2.36,2.77,2.96,3.1,3.2,3.27,3.33,3.4,3.49,3.56,3.62,3.7,3.75,3.84,3.93,4.02,4.12,4.18,4.27,4.33,4.43,4.51,4.62
Nelchina,1.57,1.93,2.2,2.57,2.76,2.88,2.98,3.04,3.1,3.16,3.24,3.31,3.37,3.44,3.49,3.57,3.65,3.74,3.83,3.89,3.98,4.03,4.12,4.19,4.29
Nelson Lagoon,2.5,2.97,3.32,3.81,4.03,4.19,4.31,4.39,4.46,4.54,4.63,4.72,4.78,4.88,4.93,5.03,5.13,5.23,5.34,5.41,5.51,5.58,5.69,5.77,5.89
New Stuyahok,2.71,3.14,3.45,3.88,4.07,4.21,4.31,4.37,4.43,4.5,4.58,4.65,4.71,4.78,4.83,4.91,5,5.08,5.17,5.23,5.31,5.37,5.46,5.52,5.62
Newtok,2.11,2.52,2.81,3.22,3.41,3.55,3.65,3.72,3.77,3.84,3.92,3.99,4.05,4.13,4.17,4.26,4.34,4.43,4.52,4.58,4.67,4.72,4.81,4.88,4.98
Nightmute,1.7,2.02,2.26,2.59,2.75,2.85,2.93,2.99,3.03,3.09,3.15,3.21,3.26,3.32,3.36,3.42,3.49,3.56,3.63,3.68,3.75,3.8,3.87,3.93,4.01
Nikolai,3.33,3.87,4.26,4.79,5.03,5.2,5.33,5.42,5.49,5.57,5.68,5.76,5.84,5.93,5.99,6.1,6.2,6.31,6.42,6.49,6.6,6.67,6.78,6.86,6.99
Nikolski,2.59,3.18,3.62,4.25,4.55,4.76,4.91,5.02,5.11,5.22,5.35,5.46,5.56,5.68,5.76,5.89,6.03,6.17,6.32,6.41,6.56,6.65,6.81,6.92,7.09
Noatak,4.96,5.66,6.16,6.82,7.13,7.33,7.49,7.6,7.68,7.79,7.91,8.02,8.11,8.22,8.29,8.42,8.54,8.67,8.8,8.89,9.02,9.1,9.23,9.33,9.48
Nome,1.69,2.01,2.25,2.58,2.73,2.84,2.92,2.97,3.02,3.07,3.14,3.19,3.24,3.3,3.34,3.41,3.47,3.54,3.61,3.66,3.73,3.78,3.85,3.9,3.98
Noorvik,2.19,2.61,2.92,3.34,3.54,3.68,3.78,3.85,3.91,3.98,4.07,4.14,4.2,4.28,4.33,4.41,4.5,4.59,4.68,4.74,4.84,4.89,4.99,5.06,5.16
Northway,1.58,1.94,2.21,2.59,2.78,2.9,3,3.07,3.12,3.19,3.27,3.34,3.39,3.47,3.52,3.6,3.68,3.77,3.86,3.92,4.01,4.06,4.15,4.23,4.33
Nuiqsut,2.68,3.2,3.58,4.1,4.34,4.51,4.63,4.72,4.79,4.88,4.99,5.07,5.15,5.25,5.3,5.41,5.52,5.63,5.74,5.82,5.93,6,6.12,6.21,6.33
Nulato,2.65,3.15,3.53,4.04,4.28,4.45,4.57,4.66,4.73,4.81,4.92,5.01,5.08,5.17,5.23,5.34,5.45,5.55,5.67,5.74,5.85,5.92,6.03,6.12,6.25
Nunam Iqua,2.14,2.55,2.86,3.27,3.46,3.6,3.7,3.77,3.83,3.9,3.98,4.05,4.11,4.19,4.24,4.32,4.41,4.49,4.59,4.64,4.74,4.79,4.88,4.95,5.06
Nunapitchuk,1.79,2.14,2.39,2.74,2.9,3.01,3.1,3.15,3.2,3.26,3.33,3.39,3.44,3.5,3.54,3.61,3.69,3.76,3.84,3.88,3.96,4.01,4.08,4.14,4.23
Old Harbor,1.73,2.12,2.42,2.84,3.04,3.18,3.28,3.36,3.42,3.49,3.58,3.65,3.71,3.8,3.85,3.94,4.03,4.12,4.22,4.29,4.39,4.45,4.55,4.63,4.74
Oscarville,2.59,3.08,3.44,3.94,4.18,4.34,4.46,4.55,4.62,4.7,4.8,4.89,4.96,5.05,5.11,5.21,5.32,5.42,5.53,5.6,5.71,5.78,5.89,5.98,6.1
Ouzinkie,1.73,2.12,2.42,2.84,3.04,3.18,3.28,3.36,3.42,3.49,3.58,3.65,3.71,3.8,3.85,3.94,4.03,4.12,4.22,4.29,4.39,4.45,4.55,4.63,4.74
Paxson,1.62,1.99,2.27,2.66,2.84,2.97,3.07,3.14,3.2,3.27,3.35,3.42,3.48,3.55,3.6,3.69,3.77,3.86,3.95,4.01,4.11,4.16,4.26,4.33,4.43
Pedro Bay,3.34,3.81,4.14,4.59,4.79,4.93,5.04,5.11,5.17,5.24,5.32,5.39,5.45,5.53,5.58,5.66,5.75,5.83,5.92,5.98,6.07,6.12,6.21,6.28,6.37
Pelican,1.77,2.17,2.47,2.9,3.1,3.25,3.35,3.43,3.49,3.56,3.66,3.73,3.79,3.88,3.93,4.02,4.12,4.21,4.32,4.38,4.48,4.54,4.65,4.73,4.84
Perryville,2.41,2.96,3.38,3.96,4.24,4.43,4.58,4.68,4.76,4.86,4.99,5.09,5.18,5.29,5.36,5.49,5.62,5.75,5.89,5.97,6.11,6.2,6.34,6.45,6.6
Petersburg,1.82,2.23,2.55,2.99,3.2,3.34,3.46,3.53,3.6,3.67,3.76,3.84,3.91,4,4.05,4.15,4.24,4.34,4.44,4.51,4.62,4.68,4.79,4.87,4.98
Pilot Point,3.09,3.58,3.93,4.41,4.64,4.79,4.9,4.98,5.05,5.13,5.22,5.3,5.36,5.45,5.5,5.6,5.69,5.79,5.89,5.95,6.06,6.12,6.22,6.3,6.41
Pilot Station,2.3,2.73,3.06,3.5,3.71,3.85,3.96,4.04,4.1,4.17,4.26,4.34,4.4,4.49,4.54,4.63,4.72,4.81,4.91,4.97,5.07,5.13,5.23,5.31,5.41
Pitka's Point,2.34,2.79,3.12,3.58,3.79,3.94,4.05,4.12,4.19,4.26,4.35,4.43,4.5,4.58,4.63,4.73,4.82,4.92,5.02,5.08,5.18,5.24,5.34,5.42,5.53
Platinum,3.53,4.09,4.49,5.04,5.29,5.46,5.59,5.68,5.75,5.84,5.95,6.04,6.11,6.21,6.27,6.38,6.49,6.59,6.71,6.78,6.89,6.96,7.08,7.17,7.29
Point Baker,1.57,1.92,2.19,2.57,2.75,2.88,2.97,3.04,3.1,3.16,3.24,3.31,3.36,3.44,3.49,3.57,3.65,3.74,3.83,3.88,3.97,4.03,4.12,4.19,4.29
Point Hope,2.15,2.57,2.87,3.29,3.48,3.62,3.72,3.79,3.85,3.92,4,4.07,4.13,4.21,4.26,4.34,4.43,4.52,4.61,4.67,4.76,4.82,4.91,4.98,5.08
Point Lay,2.17,2.59,2.89,3.31,3.51,3.65,3.75,3.82,3.88,3.95,4.04,4.11,4.17,4.25,4.29,4.38,4.47,4.56,4.65,4.71,4.8,4.86,4.95,5.02,5.13
Port Alexander,1.57,1.92,2.19,2.57,2.75,2.88,2.97,3.04,3.1,3.16,3.24,3.31,3.36,3.44,3.49,3.57,3.65,3.74,3.83,3.88,3.97,4.03,4.12,4.19,4.29
Port Alsworth,3.56,4.07,4.42,4.9,5.12,5.27,5.38,5.46,5.52,5.59,5.68,5.76,5.82,5.91,5.96,6.05,6.14,6.23,6.32,6.38,6.48,6.54,6.63,6.7,6.81
Port Heiden,4.07,4.7,5.16,5.77,6.05,6.24,6.39,6.48,6.57,6.66,6.78,6.88,6.96,7.07,7.14,7.26,7.38,7.5,7.63,7.7,7.83,7.91,8.03,8.13,8.27
Port Lions,2.03,2.49,2.84,3.32,3.56,3.72,3.84,3.93,4,4.08,4.19,4.28,4.35,4.45,4.5,4.61,4.72,4.83,4.95,5.02,5.14,5.21,5.32,5.42,5.55
Port Protection,1.57,1.92,2.19,2.57,2.75,2.88,2.97,3.04,3.1,3.16,3.24,3.31,3.36,3.44,3.49,3.57,3.65,3.74,3.83,3.88,3.97,4.03,4.12,4.19,4.29
Quinhagak,1.76,2.1,2.35,2.69,2.85,2.96,3.04,3.1,3.15,3.2,3.27,3.33,3.38,3.44,3.48,3.55,3.62,3.7,3.77,3.82,3.89,3.94,4.02,4.07,4.16
Rampart,2.4,2.79,3.07,3.45,3.63,3.76,3.85,3.91,3.96,4.02,4.1,4.16,4.21,4.28,4.33,4.4,4.48,4.56,4.64,4.69,4.77,4.82,4.9,4.96,5.05
Red Devil,2.28,2.72,3.04,3.48,3.69,3.83,3.94,4.02,4.08,4.15,4.24,4.32,4.38,4.46,4.51,4.6,4.7,4.79,4.89,4.95,5.05,5.1,5.2,5.28,5.39
Ruby,1.78,2.12,2.38,2.72,2.88,3,3.08,3.14,3.19,3.24,3.31,3.37,3.42,3.48,3.52,3.6,3.67,3.74,3.82,3.86,3.94,3.99,4.06,4.12,4.21
Russian Mission,2.29,2.73,3.06,3.5,3.71,3.85,3.96,4.03,4.1,4.17,4.26,4.34,4.4,4.48,4.53,4.62,4.72,4.81,4.91,4.97,5.07,5.13,5.23,5.3,5.41
Sand Point,1.77,2.18,2.48,2.91,3.11,3.26,3.36,3.44,3.5,3.57,3.67,3.74,3.81,3.89,3.94,4.04,4.13,4.23,4.33,4.39,4.49,4.56,4.66,4.74,4.85
Savoonga,1.87,2.22,2.49,2.85,3.02,3.14,3.22,3.29,3.34,3.4,3.47,3.53,3.58,3.65,3.69,3.76,3.84,3.92,4,4.05,4.13,4.17,4.26,4.32,4.4
Saxman,1.82,2.23,2.55,2.99,3.2,3.34,3.46,3.53,3.6,3.67,3.76,3.84,3.91,4,4.05,4.15,4.24,4.34,4.44,4.51,4.62,4.68,4.79,4.87,4.98
Scammon Bay,1.93,2.3,2.58,2.95,3.12,3.25,3.34,3.4,3.45,3.51,3.59,3.65,3.71,3.78,3.82,3.9,3.98,4.05,4.14,4.19,4.27,4.32,4.4,4.47,4.56
Selawik,2.18,2.6,2.9,3.33,3.52,3.66,3.76,3.84,3.89,3.96,4.05,4.12,4.18,4.26,4.31,4.4,4.48,4.57,4.66,4.72,4.82,4.87,4.97,5.04,5.14
Shageluk,2.65,3.16,3.53,4.04,4.28,4.45,4.58,4.66,4.73,4.82,4.92,5.01,5.08,5.18,5.24,5.34,5.45,5.56,5.67,5.74,5.86,5.92,6.04,6.13,6.25
Shaktoolik,1.76,2.09,2.34,2.68,2.84,2.95,3.04,3.09,3.14,3.2,3.27,3.32,3.37,3.44,3.47,3.55,3.62,3.69,3.76,3.81,3.89,3.93,4.01,4.06,4.15
Shishmaref,1.88,2.24,2.51,2.87,3.04,3.16,3.25,3.31,3.36,3.42,3.5,3.56,3.61,3.68,3.72,3.79,3.87,3.95,4.03,4.08,4.16,4.21,4.29,4.35,4.44
Shungnak,3.52,4.07,4.47,5.01,5.26,5.43,5.56,5.65,5.72,5.81,5.91,6,6.07,6.17,6.23,6.33,6.44,6.55,6.66,6.73,6.84,6.91,7.03,7.11,7.23
Silver Springs,1.57,1.93,2.2,2.57,2.76,2.88,2.98,3.04,3.1,3.16,3.24,3.31,3.37,3.44,3.49,3.57,3.65,3.74,3.83,3.89,3.98,4.03,4.12,4.19,4.29
Sitka,1.82,2.23,2.55,2.99,3.2,3.34,3.46,3.53,3.6,3.67,3.76,3.84,3.91,4,4.05,4.15,4.24,4.34,4.44,4.51,4.62,4.68,4.79,4.87,4.98
Skagway,1.55,1.9,2.17,2.54,2.72,2.84,2.94,3,3.06,3.12,3.2,3.27,3.32,3.4,3.44,3.53,3.61,3.69,3.78,3.84,3.93,3.98,4.07,4.14,4.24
Slana,1.62,1.99,2.27,2.66,2.84,2.97,3.07,3.14,3.2,3.27,3.35,3.42,3.48,3.55,3.6,3.69,3.77,3.86,3.95,4.01,4.11,4.16,4.26,4.33,4.43
Sleetmute,2.29,2.72,3.04,3.49,3.69,3.84,3.94,4.02,4.08,4.15,4.24,4.32,4.38,4.46,4.52,4.61,4.7,4.79,4.89,4.95,5.05,5.11,5.21,5.28,5.39
Saint George,5.03,5.36,5.62,5.98,6.15,6.26,6.35,6.42,6.47,6.53,6.61,6.67,6.72,6.79,6.84,6.91,6.99,7.07,7.16,7.21,7.3,7.35,7.43,7.5,7.6
Saint Mary's,2.34,2.79,3.12,3.58,3.79,3.94,4.05,4.12,4.19,4.26,4.35,4.43,4.5,4.58,4.63,4.73,4.82,4.92,5.02,5.08,5.18,5.24,5.34,5.42,5.53
Saint Michael,2.07,2.46,2.75,3.16,3.34,3.47,3.57,3.64,3.69,3.76,3.84,3.91,3.97,4.04,4.09,4.17,4.25,4.34,4.42,4.48,4.57,4.62,4.71,4.78,4.88
Saint Paul,2.84,3.17,3.43,3.79,3.96,4.07,4.16,4.23,4.28,4.34,4.42,4.48,4.53,4.6,4.65,4.72,4.8,4.88,4.97,5.02,5.11,5.16,5.24,5.31,5.41
Stebbins,1.85,2.21,2.47,2.82,2.99,3.11,3.2,3.26,3.31,3.37,3.44,3.5,3.55,3.62,3.66,3.73,3.81,3.88,3.96,4.01,4.09,4.14,4.22,4.28,4.37
Steven's Village,2.4,2.79,3.07,3.45,3.63,3.76,3.85,3.91,3.96,4.02,4.1,4.16,4.21,4.28,4.33,4.4,4.48,4.56,4.64,4.69,4.77,4.82,4.9,4.96,5.05
Stony River,2.28,2.72,3.04,3.48,3.69,3.83,3.94,4.01,4.07,4.15,4.24,4.31,4.37,4.46,4.51,4.6,4.69,4.78,4.88,4.94,5.04,5.1,5.2,5.27,5.38
Takotna,3.25,3.76,4.14,4.64,4.87,5.03,5.15,5.23,5.3,5.38,5.48,5.56,5.63,5.72,5.78,5.87,5.97,6.07,6.18,6.24,6.35,6.41,6.52,6.6,6.71
Tanacross,1.6,1.96,2.23,2.62,2.8,2.93,3.03,3.1,3.15,3.22,3.3,3.37,3.42,3.5,3.55,3.63,3.72,3.8,3.89,3.95,4.04,4.1,4.19,4.26,4.37
Tanana,2.4,2.79,3.07,3.45,3.63,3.76,3.85,3.91,3.96,4.02,4.1,4.16,4.21,4.28,4.33,4.4,4.48,4.56,4.64,4.69,4.77,4.82,4.9,4.96,5.05
Tatitlek,2.09,2.56,2.92,3.42,3.67,3.83,3.96,4.05,4.12,4.21,4.31,4.4,4.48,4.58,4.64,4.75,4.86,4.98,5.09,5.17,5.29,5.36,5.49,5.58,5.71
Tazlina,1.57,1.93,2.2,2.57,2.76,2.88,2.98,3.04,3.1,3.16,3.24,3.31,3.37,3.44,3.49,3.57,3.65,3.74,3.83,3.89,3.98,4.03,4.12,4.19,4.29
Teller,1.94,2.31,2.59,2.96,3.14,3.26,3.35,3.42,3.47,3.53,3.61,3.67,3.72,3.79,3.84,3.92,3.99,4.07,4.15,4.21,4.29,4.34,4.42,4.49,4.58
Tenakee Springs,2.41,2.8,3.1,3.51,3.71,3.85,3.95,4.03,4.09,4.16,4.25,4.32,4.38,4.47,4.52,4.61,4.7,4.79,4.89,4.95,5.05,5.11,5.21,5.29,5.4
Tetlin,1.78,2.18,2.48,2.91,3.12,3.26,3.37,3.44,3.51,3.58,3.67,3.75,3.81,3.9,3.95,4.04,4.14,4.23,4.33,4.4,4.5,4.56,4.67,4.75,4.86
Thorne Bay,1.53,1.87,2.14,2.5,2.68,2.8,2.9,2.96,3.01,3.08,3.16,3.22,3.28,3.35,3.39,3.47,3.56,3.64,3.73,3.78,3.87,3.92,4.01,4.08,4.18
Togiak,1.92,2.29,2.56,2.93,3.11,3.23,3.32,3.38,3.43,3.5,3.57,3.63,3.69,3.76,3.8,3.88,3.95,4.03,4.11,4.17,4.25,4.3,4.38,4.44,4.54
Tok,1.6,1.96,2.23,2.62,2.8,2.93,3.03,3.1,3.15,3.22,3.3,3.37,3.42,3.5,3.55,3.63,3.72,3.8,3.89,3.95,4.04,4.1,4.19,4.26,4.37
Toksook Bay,1.8,2.14,2.39,2.74,2.9,3.02,3.1,3.16,3.21,3.26,3.34,3.39,3.44,3.51,3.55,3.62,3.69,3.77,3.84,3.89,3.97,4.01,4.09,4.15,4.24
Tolsona,1.57,1.93,2.2,2.57,2.76,2.88,2.98,3.04,3.1,3.16,3.24,3.31,3.37,3.44,3.49,3.57,3.65,3.74,3.83,3.89,3.98,4.03,4.12,4.19,4.29
Tonsina,1.57,1.93,2.2,2.57,2.76,2.88,2.98,3.04,3.1,3.16,3.24,3.31,3.37,3.44,3.49,3.57,3.65,3.74,3.83,3.89,3.98,4.03,4.12,4.19,4.29
Tuluksak,2.21,2.64,2.95,3.38,3.58,3.72,3.82,3.89,3.95,4.02,4.11,4.18,4.24,4.33,4.37,4.46,4.55,4.64,4.74,4.8,4.89,4.95,5.04,5.12,5.22
Tuntutuliak,2.17,2.59,2.9,3.32,3.51,3.65,3.75,3.82,3.88,3.95,4.04,4.11,4.17,4.25,4.29,4.38,4.47,4.56,4.65,4.71,4.8,4.86,4.95,5.02,5.13
Tununak,1.6,1.91,2.13,2.44,2.59,2.69,2.76,2.81,2.86,2.91,2.97,3.02,3.07,3.13,3.16,3.23,3.29,3.35,3.42,3.47,3.53,3.58,3.64,3.7,3.77
Twin Hills,3.55,4.11,4.51,5.06,5.31,5.49,5.62,5.71,5.78,5.87,5.98,6.07,6.14,6.24,6.3,6.41,6.52,6.63,6.74,6.81,6.93,7,7.11,7.2,7.32
Unalakleet,1.7,2.03,2.27,2.6,2.75,2.86,2.94,2.99,3.04,3.09,3.16,3.22,3.26,3.32,3.36,3.43,3.5,3.57,3.64,3.69,3.76,3.8,3.88,3.93,4.01
Unalaska,1.48,1.81,2.07,2.43,2.6,2.71,2.8,2.87,2.92,2.98,3.06,3.12,3.17,3.24,3.29,3.36,3.44,3.52,3.61,3.66,3.75,3.8,3.88,3.95,4.05
Valdez,1.57,1.93,2.2,2.57,2.76,2.88,2.98,3.04,3.1,3.16,3.24,3.31,3.37,3.44,3.49,3.57,3.65,3.74,3.83,3.89,3.98,4.03,4.12,4.19,4.29
Venetie,3.42,3.97,4.37,4.91,5.16,5.33,5.46,5.55,5.63,5.71,5.82,5.91,5.98,6.08,6.14,6.25,6.36,6.46,6.58,6.65,6.76,6.83,6.95,7.04,7.16
Wainwright,2.05,2.44,2.73,3.13,3.31,3.44,3.54,3.61,3.66,3.73,3.81,3.87,3.93,4.01,4.05,4.13,4.22,4.3,4.39,4.44,4.53,4.58,4.67,4.74,4.84
Wales,1.87,2.23,2.5,2.86,3.03,3.15,3.24,3.3,3.35,3.41,3.48,3.54,3.59,3.66,3.7,3.78,3.85,3.93,4.01,4.06,4.14,4.19,4.27,4.33,4.42
Whale Pass,1.57,1.92,2.19,2.57,2.75,2.88,2.97,3.04,3.1,3.16,3.24,3.31,3.36,3.44,3.49,3.57,3.65,3.74,3.83,3.88,3.97,4.03,4.12,4.19,4.29
White Mountain,2.12,2.53,2.82,3.23,3.43,3.56,3.66,3.73,3.79,3.85,3.94,4.01,4.06,4.14,4.19,4.27,4.36,4.45,4.54,4.59,4.68,4.74,4.83,4.9,5
Wiseman,1.77,2.18,2.48,2.91,3.11,3.26,3.36,3.44,3.5,3.58,3.67,3.74,3.81,3.89,3.94,4.04,4.13,4.23,4.33,4.39,4.49,4.56,4.66,4.74,4.85
Womens Bay,2.03,2.49,2.84,3.32,3.56,3.72,3.84,3.93,4,4.08,4.19,4.28,4.35,4.45,4.5,4.61,4.72,4.83,4.95,5.02,5.14,5.21,5.32,5.42,5.55
Wrangell,1.82,2.23,2.55,2.99,3.2,3.34,3.46,3.53,3.6,3.67,3.76,3.84,3.91,4,4.05,4.15,4.24,4.34,4.44,4.51,4.62,4.68,4.79,4.87,4.98
Yakutat,1.73,2.13,2.43,2.84,3.04,3.18,3.29,3.36,3.42,3.49,3.58,3.66,3.72,3.8,3.85,3.95,4.04,4.13,4.23,4.29,4.39,4.45,4.56,4.63,4.74
