City,System Type,Year,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Gambell,Circulating/Gravity,2010,4664,16307,14262,107513,79008,8719,0,0,FALSE,FALSE
Game Creek,Watering Point,2010,,,,,,,,,FALSE,FALSE
Glennallen,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Golovin,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Goodnews Bay,Pressure/Gravity,2010,2196,5024,477,20944,19980,22400,0,0,FALSE,FALSE
Grayling,Circulating/Gravity,2010,1536,6850,1747,91836,65099,397160,0,0,FALSE,FALSE
Gulkana,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Gustavus,Wells/ST/DF,2010,800,,,,,,,,FALSE,FALSE
Haines,Pressure/Gravity,2010,7430,6900,,260000,,,0,0,FALSE,FALSE
Halibut Cove,Watering Point,2010,,,,,,,,,FALSE,FALSE
Happy Valley,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Harding-Birch Lakes,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Healy Lake,Washeteria,2010,,,,,,,,,FALSE,FALSE
Hollis,None,2010,,,,,,,,,FALSE,FALSE
Holy Cross,Circulating/Gravity,2010,1290,5812,758,65948,56710,395681,0,0,FALSE,FALSE
Hoonah,Pressure/Gravity,2010,4000,2324.235766,,163503.1565,,,0,0,FALSE,FALSE
Hooper Bay,Circulating/Vacuum,2010,15500,43350,,430807.8767,,,0,0,FALSE,FALSE
Hope,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Hughes,Circulating/Pressure,2010,200,,,,,,,,TRUE,TRUE
Huslia,Circulating/Gravity,2010,2048,6614,1093,96387.41887,46357,285680,0,0,FALSE,FALSE
Hydaburg,Pressure/Gravity,2010,100,,,,,,,,FALSE,FALSE
Hyder,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Igiugig,Wells/ST/DF,2010,1400,,,,,,,,TRUE,FALSE
Iliamna,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Juneau,Pressure/Gravity,2010,50231,100753.5766,,945058.5055,,,,,FALSE,FALSE
Kachemak,Closed Haul/Closed Haul,2010,,,,,,,,,FALSE,FALSE
Kake,Pressure/Gravity,2010,1200,876.7883212,,12463.77884,,,,,FALSE,FALSE
Kaktovik,Circulating/Gravity,2010,11320,,,532062.7885,,,,,FALSE,FALSE
Kaltag,Circulating/Gravity,2010,2048,,,,,,,,FALSE,FALSE
Karluk,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Kasaan,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Kasigluk,Circulating/Pressure,2010,,,,,,,,,FALSE,FALSE
Kasilof,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Kenny Lake,Watering Point,2010,,,,,,,,,FALSE,FALSE
Ketchikan,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Kiana,Circulating/Gravity,2010,4684,0,,105970,,,,,FALSE,FALSE
King Cove,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
King Salmon,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Kipnuk,Washeteria,2010,1760,,,,,153200,,,FALSE,FALSE
Kivalina,Washeteria,2010,,,,,,,,,FALSE,FALSE
Klawock,Pressure/Gravity,2010,1500,2314,1006,79082,71921,142420,,,FALSE,FALSE
Klukwan,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Kobuk,Circulating/Gravity,2010,,,,,,,,,FALSE,TRUE
Kodiak,Pressure/Gravity,2010,30427,16303.44526,,491998.928,,,0,0,FALSE,FALSE
Kodiak Station,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Kokhanok,Pressure/Gravity,2010,361,,,,,,,,FALSE,FALSE
Koliganek,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Kongiganak,Washeteria,2010,8903,4581.941606,,36182.82638,,,0,0,TRUE,FALSE
Kotlik,Circulating/Vacuum,2010,4200,465,465,121213,89645,140000,,,FALSE,FALSE
Kotzebue,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Koyuk,Circulating/Gravity,2010,2753,13303,3378,90964,69040,476935,0,0,FALSE,FALSE
