Community,Total Number of generators,Total Capacity (in kW),Largest generator (in kW),Sizing,"Number to replace (""Poor"")",Switchgear Suitable,Waste Heat Recovery Opperational,Add waste heat Avail,Est. current annual heating fuel gallons displaced,Est. potential annual heating fuel gallons displaced
Kotlik,4,1700,500,properly sized,1,Yes,Yes,No,unknown,unknown
Kotzebue,5,11100,,,,,,,,
Koyuk,3,1150,500,properly sized,0,Yes,Yes,No,unknown,unknown
Koyukuk,4,202,64,properly sized,1,Yes,Yes,Yes,18250,none
Kwethluk,3,1100,410,properly sized,0,Yes,Yes,Yes,N/A,N/A
Kwigillingok,4,723,275,properly sized,0,No,Yes,Yes,0,0
Larsen Bay,2,360,180,oversized,1,No,No,No,0,0
Levelock,3,234,100,properly sized,0,Yes,Yes,Yes,9300,900
Lime Village,,,,,,,,,,
Manley Hot Springs,3,480,250,oversized,0,No,Yes,No,unknown,unknown
Manokotak,4,830,260,properly sized,0,Yes,Yes,Yes,unknown,unknown
Marshall,3,1085,500,properly sized,0,No,Yes,No,unknown,unknown
McGrath,4,2140,670,properly sized,1,No,Yes,No,60000,unknown
Mekoryuk,3,704,268,properly sized,0,Yes,Yes,No,N/A,N/A
Metlakatla,1,3300,,,,,,,,
Minto,3,708,268,oversized,0,No,Yes,Yes,unknown,unknown
Mountain Village,4,1990,750,undersized,0,No,Yes,No,unknown,unknown
Naknek,10,9900,,,,,,,,
Napakiak,1,250,250,properly sized,0,No,No,No,N/A,N/A
Napaskiak,3,577,230,properly sized,0,Yes,No,No,N/A,N/A
Naukati Bay,3,488,175,properly sized,0,Yes,Yes,Yes,unknown,unknown
Nelson Lagoon,3,295,110,properly sized,1,Yes,No,No,N/A,N/A
New Stuyahok,3,1331,500,properly sized,0,No,Yes,No,unknown,unknown
Newhalen,4,1560,600,properly sized,0,No,Yes,Yes,5000,16000
Newtok,,,,,,,,,,
Nightmute,1,325,325,properly sized,0,No,No,No,N/A,N/A
Nikolai,3,300,100,properly sized,0,No,No,No,N/A,N/A
Nikolski,3,196,71,properly sized,0,Yes,Yes,No,660,none
Noatak,3,1184,500,oversized,1,No,No,No,unknown,unknown
