Model ID,Community,Energy Region,GNIS,FIPS,Alias
105,Kotlik,Lower Yukon-Kuskokwim,1404964,41720,
149,Kotzebue,Northwest Arctic,1413378,41830,
18,Koyuk,Bering Straits,1404981,41940,
221,Koyukuk,Yukon-Koyukuk/Upper Tanana,1404984,42050,
175,Kupreanof,Southeast,1424959,42160,
106,Kwethluk,Lower Yukon-Kuskokwim,1405119,42380,
107,Kwigillingok,Lower Yukon-Kuskokwim,1405122,42490,
222,Lake Minchumina,Yukon-Koyukuk/Upper Tanana,1405185,42820,
83,Larsen Bay,Kodiak Region,1405216,43040,
42,Levelock,Bristol Bay,1405300,43810,
108,Lime Village,Lower Yukon-Kuskokwim,1405351,44030,
223,Livengood,Yukon-Koyukuk/Upper Tanana,1405579,44580,
109,Lower Kalskag,Lower Yukon-Kuskokwim,1405763,45460,
176,Lutak,Southeast,1866960,45700,
224,Manley Hot Springs,Yukon-Koyukuk/Upper Tanana,1405922,46780,
43,Manokotak,Bristol Bay,1405927,46890,
110,Marshall,Lower Yukon-Kuskokwim,1405984,47000,
65,McCarthy,Copper River/Chugach,1406098,45790,
225,McGrath,Yukon-Koyukuk/Upper Tanana,1406131,46010,
111,Mekoryuk,Lower Yukon-Kuskokwim,1406211,47990,
66,Mendeltna,Copper River/Chugach,1866962,48200,
67,Mentasta Lake,Copper River/Chugach,1406241,48540,
177,Metlakatla,Southeast,1423661,48870,
226,Minto,Yukon-Koyukuk/Upper Tanana,1406419,49530,
178,Mosquito Lake,Southeast,1866963,50800,
112,Mountain Village,Lower Yukon-Kuskokwim,1406655,51180,
179,Mud Bay,Southeast,1865558,51455,
44,Naknek,Bristol Bay,1406798,52060,
113,Napakiak,Lower Yukon-Kuskokwim,1406829,52390,
114,Napaskiak,Lower Yukon-Kuskokwim,1406834,52720,
180,Naukati Bay,Southeast,1866964,52845,
68,Nelchina,Copper River/Chugach,1865559,52915,
7,Nelson Lagoon,Aleutians,1418948,52940,
227,New Allakaket,Yukon-Koyukuk/Upper Tanana,2419536,53162,
45,New Stuyahok,Bristol Bay,1406972,53710,
46,Newhalen,Bristol Bay,1406978,53270,
115,Newtok,Lower Yukon-Kuskokwim,1406985,53820,
116,Nightmute,Lower Yukon-Kuskokwim,1407008,53930,
228,Nikolai,Yukon-Koyukuk/Upper Tanana,1407022,54150,
8,Nikolski,Aleutians,1418954,54260,
150,Noatak,Northwest Arctic,1413638,54700,
19,Nome,Bering Straits,1407125,54920,
47,Nondalton,Bristol Bay,1407129,55030,
151,Noorvik,Northwest Arctic,1413646,55140,
229,Northway,Yukon-Koyukuk/Upper Tanana,1407253,56220,
230,Northway Junction,Yukon-Koyukuk/Upper Tanana,1866965,56250,
231,Northway Village,Yukon-Koyukuk/Upper Tanana,1407254,56260,
139,Nuiqsut,North Slope,1416680,56320,
232,Nulato,Yukon-Koyukuk/Upper Tanana,1407321,56350,
117,Nunam Iqua,Lower Yukon-Kuskokwim,1409405,56600,
118,Nunapitchuk,Lower Yukon-Kuskokwim,1407339,56680,
84,Old Harbor,Kodiak Region,1407483,57340,
119,Oscarville,Lower Yukon-Kuskokwim,1407624,58330,
85,Ouzinkie,Kodiak Region,1407684,58550,
#69 #zero division res sales are zero,Paxson,Copper River/Chugach,1866966,59320,
48,Pedro Bay,Bristol Bay,1407862,59540,
181,Pelican,Southeast,1424201,59650,
49,Perryville,Bristol Bay,1407902,60200,
182,Petersburg,Southeast,1424228,60310,
50,Pilot Point,Bristol Bay,1407992,60640,
120,Pilot Station,Lower Yukon-Kuskokwim,1407993,60750,
121,Pitkas Point,Lower Yukon-Kuskokwim,1408054,60860,
122,Platinum,Lower Yukon-Kuskokwim,1408072,61080,
183,Point Baker,Southeast,1424323,61190,
140,Point Hope,North Slope,1408110,61630,
141,Point Lay,North Slope,1408115,61700,
184,Port Alexander,Southeast,1424551,62510,
51,Port Alsworth,Bristol Bay,1408208,62620,
52,Port Heiden,Bristol Bay,1419072,63390,
86,Port Lions,Kodiak Region,1408218,63610,
185,Port Protection,Southeast,1866970,63870,
123,Quinhagak,Lower Yukon-Kuskokwim,1408462,64600,
233,Rampart,Yukon-Koyukuk/Upper Tanana,1408519,64820,
124,Red Devil,Lower Yukon-Kuskokwim,1408580,64930,
234,Ruby,Yukon-Koyukuk/Upper Tanana,1408878,65590,
125,Russian Mission,Lower Yukon-Kuskokwim,1408925,65700,
10,Saint George,Aleutians,1419161,65800,
128,Saint Mary's,Lower Yukon-Kuskokwim,1398261,66140,
23,Saint Michael,Bering Straits,1408977,66360,
11,Saint Paul,Aleutians,1419163,66470,
9,Sand Point,Aleutians,1419182,67020,
20,Savoonga,Bering Straits,1409106,67460,
186,Saxman,Southeast,1414511,67570,
126,Scammon Bay,Lower Yukon-Kuskokwim,1409133,67680,
152,Selawik,Northwest Arctic,1413930,68230,
235,Shageluk,Yukon-Koyukuk/Upper Tanana,1409306,68670,
21,Shaktoolik,Bering Straits,1669434,68890,
22,Shishmaref,Bering Straits,1409434,69770,
153,Shungnak,Northwest Arctic,1413983,70100,
70,Silver Springs,Copper River/Chugach,2419219,70320,
187,Sitka,Southeast,1414736,70540,
188,Skagway,Southeast,1414754,70760,
71,Slana,Copper River/Chugach,1409698,70930,
127,Sleetmute,Lower Yukon-Kuskokwim,1409747,71090,
53,South Naknek,Bristol Bay,1409961,72190,
24,Stebbins,Bering Straits,1410158,72960,
236,Stevens Village,Yukon-Koyukuk/Upper Tanana,1410198,73290,
129,Stony River,Lower Yukon-Kuskokwim,1410241,73400,
237,Takotna,Yukon-Koyukuk/Upper Tanana,1410562,74610,
238,Tanacross,Yukon-Koyukuk/Upper Tanana,1410618,75050,
239,Tanana,Yukon-Koyukuk/Upper Tanana,1410629,75160,
72,Tatitlek,Copper River/Chugach,1415193,75380,
73,Tazlina,Copper River/Chugach,1410694,75480,
25,Teller,Bering Straits,1410730,75930,
189,Tenakee Springs,Southeast,1415210,76260,
240,Tetlin,Yukon-Koyukuk/Upper Tanana,1410765,76590,
190,Thorne Bay,Southeast,1669435,77140,
54,Togiak,Bristol Bay,1411039,77690,
241,Tok,Yukon-Koyukuk/Upper Tanana,1411046,77800,
130,Toksook Bay,Lower Yukon-Kuskokwim,1411060,78240,
74,Tolsona,Copper River/Chugach,1865569,78297,
75,Tonsina,Copper River/Chugach,1411105,78350,
131,Tuluksak,Lower Yukon-Kuskokwim,1411295,78790,
132,Tuntutuliak,Lower Yukon-Kuskokwim,1411324,79120,
133,Tununak,Lower Yukon-Kuskokwim,1410644,79230,
55,Twin Hills,Bristol Bay,1416737,79780,
26,Unalakleet,Bering Straits,1411517,80660,
12,Unalaska,Aleutians,1419424,80770,
134,Upper Kalskag,Lower Yukon-Kuskokwim,1404378,81320,Kalskag
76,Valdez,Copper River/Chugach,1412465,82200,
242,Venetie,Yukon-Koyukuk/Upper Tanana,1411644,82420,
142,Wainwright,North Slope,1411728,82750,
27,Wales,Bering Straits,1404755,82860,
191,Whale Pass,Southeast,1744590,84000,
28,White Mountain,Bering Straits,1411989,84070,
243,Wiseman,Yukon-Koyukuk/Upper Tanana,1414284,85610,
87,Womens Bay,Kodiak Region,1866977,85680,
192,Wrangell,Southeast,1415843,86380,
193,Yakutat,Southeast,1415858,86490,
