Community Name with power generation,Plant Intertied,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie
Northway,Yes,Northway Junction,Northway Village,,,,,,,,,,,,,,
Nuiqsut,No,,,,,,,,,,,,,,,,
Nulato,No,,,,,,,,,,,,,,,,
Nunam Iqua,No,,,,,,,,,,,,,,,,
Old Harbor,No,,,,,,,,,,,,,,,,
Ouzinkie,No,,,,,,,,,,,,,,,,
Pedro Bay,No,,,,,,,,,,,,,,,,
Pelican,No,,,,,,,,,,,,,,,,
Perryville,No,,,,,,,,,,,,,,,,
Pilot Point,No,,,,,,,,,,,,,,,,
Pilot Station,No,,,,,,,,,,,,,,,,
Point Hope,No,,,,,,,,,,,,,,,,
Point Lay,No,,,,,,,,,,,,,,,,
Port Alsworth,No,,,,,,,,,,,,,,,,
Port Heiden,No,,,,,,,,,,,,,,,,
Quinhagak,No,,,,,,,,,,,,,,,,
Red Devil,No,,,,,,,,,,,,,,,,
Ruby,No,,,,,,,,,,,,,,,,
Russian Mission,No,,,,,,,,,,,,,,,,
Saint George,No,,,,,,,,,,,,,,,,
Saint Mary's,Yes,Pitkas Point,,,,,,#Andreafsky,,,,,,,,,
Saint Michael,No,,,,,,,,,,,,,,,,
Saint Paul,No,,,,,,,,,,,,,,,,
Sand Point,No,,,,,,,,,,,,,,,,
Savoonga,No,,,,,,,,,,,,,,,,
Scammon Bay,No,,,,,,,,,,,,,,,,
Selawik,No,,,,,,,,,,,,,,,,
Shageluk,No,,,,,,,,,,,,,,,,
Shaktoolik,No,,,,,,,,,,,,,,,,
Shishmaref,No,,,,,,,,,,,,,,,,
#Skagway,Yes,Haines,,,,,,,,,,,,,,,
Slana,Yes,Chistochina,Mentasta Lake,,,,,,,,,,,,,,
Sleetmute,No,,,,,,,,,,,,,,,,
Stebbins,No,,,,,,,,,,,,,,,,
Stevens Village,No,,,,,,,,,,,,,,,,
Stony River,No,,,,,,,,,,,,,,,,
Takotna,No,,,,,,,,,,,,,,,,
Tanana,No,,,,,,,,,,,,,,,,
Tatitlek,No,,,,,,,,,,,,,,,,
Teller,No,,,,,,,,,,,,,,,,
Tenakee Springs,No,,,,,,,,,,,,,,,,
Togiak,No,,,,,,,,,,,,,,,,
Tok,Yes,Tanacross,Tetlin,Dot Lake Village,Dot Lake,,,,,,,,,,,,
Toksook Bay,Yes,Nightmute,Tununak,,,,,,,,,,,,,,
