#,,,,BEES,,,,Pre-Retrofit (No BEES),,,Post-Retrofit,,,,,
#Community,Energy Region,,Total Occupied,Number,Avg Area (SF),Avg EUI (MMBtu/sf),Total Consumption (MMBtu),Number,Avg Area (SF),Avg EUI (MMBtu/sf),Number,Avg Area (SF),Avg. EUI Reduction,Avg EUI (MMBtu/sf),,Notes
Community,Energy Region,Year,Total Occupied,BEES Number,BEES Avg Area (SF),BEES Avg EUI (MMBtu/sf),BEES Total Consumption (MMBtu),Pre-Retrofit Number,Pre-Retrofit Avg Area (SF),Pre-Retrofit Avg EUI (MMBtu/sf),Post-Retrofit Number,Post-Retrofit Avg Area (SF),Post-Retrofit Avg. EUI Reduction,Post-Retrofit Avg EUI (MMBtu/sf),Total Consumption (MMBtu),Notes
Gakona,Copper River/Chugach,2010,86,6,1881.333333,0.079045947,892.2706523,14,1541.515,0.154314146,45,1547.434167,0.299936852,0.110172868,7671.836674,0
Galena,Yukon-Koyukuk/Upper Tanana,2010,190,7,1104.285714,0.077593652,599.7989308,17,1425.058824,0.246540221,31,1507,0.32640461,0.105143441,4911.986139,0
Gambell,Bering Straits,2010,164,0,0,0,0,0,1243.088743,0.150946996,3,1243.088743,0.326127715,0.116946092,436.1231115,0
Game Creek,Southeast,2010,7,0,0,0,0,0,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
Glennallen,Copper River/Chugach,2010,203,13,2045.153846,0.10373183,2757.918157,70,1823.756,0.186397371,77,1507.560811,0.299936852,0.131630965,15280.00971,0
Golovin,Bering Straits,2010,49,4,1033,0.078774431,325.4959483,0,1243.088743,0.150946996,0,1243.088743,0.326127715,0.116946092,0,0
Goodnews Bay,Lower Yukon-Kuskokwim,2010,76,4,1267,0.069073402,350.0640005,47,762.9782609,0.190938602,63,743.75,0.423683517,0.111667791,5232.333954,0
Grayling,Yukon-Koyukuk/Upper Tanana,2010,55,3,1107.333333,0.077840623,258.5865496,0,1121.814623,0.246540221,40,1121.814623,0.32640461,0.152397642,6838.476121,0
Gulkana,Copper River/Chugach,2010,36,0,0,0,0,7,1845.151618,0.154314146,6,752.4166667,0.299936852,0.138272082,624.2293128,0
Gustavus,Southeast,2010,212,11,1794.636364,0.066079185,1304.469191,27,1234.75963,0.15659928,23,1151.584,0.280661724,0.08985194,2379.857308,0
Haines,Southeast,2010,782,30,2279.9,0.075812736,5185.363698,231,1731.223333,0.184103599,234,1616.377551,0.29333472,0.127101613,48073.94156,0
Healy Lake,Yukon-Koyukuk/Upper Tanana,2010,7,0,0,0,0,1,1121.814623,0.246540221,3,672,0.32640461,0.165181948,333.0068068,0
Hobart Bay,Southeast,2010,1,0,0,0,0,0,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
Hollis,Southeast,2010,44,4,1174.25,0.131593099,618.0927879,9,1711.790371,0.122774639,12,894.3333333,0.280661724,0.088316497,947.812646,0
Holy Cross,Yukon-Koyukuk/Upper Tanana,2010,64,2,1053,0.073632479,155.07,5,1121.814623,0.246540221,29,1121.814623,0.32640461,0.152397642,4957.895188,0
Hoonah,Southeast,2010,305,2,2421.5,0.055285253,267.7464779,76,1330.065789,0.170283118,83,1294.811321,0.341303579,0.108958193,11709.66503,0
Hooper Bay,Lower Yukon-Kuskokwim,2010,256,8,7177.6875,0.075118255,4313.402884,96,738.4583333,0.150448404,41,796,0.265237844,0.101863277,3324.409915,0
Hughes,Yukon-Koyukuk/Upper Tanana,2010,31,5,997.8,0.092117064,459.5720315,25,778.76,0.186464701,26,736.4736842,0.32640461,0.145994059,2795.540341,0
Huslia,Yukon-Koyukuk/Upper Tanana,2010,91,7,1389,0.073990816,719.4127085,22,886.6363636,0.165694416,76,887.4444444,0.32640461,0.123096945,8302.369202,0
Hydaburg,Southeast,2010,128,0,0,0,0,59,1170.542373,0.118929634,78,1174.425,0.280661724,0.076511463,7008.844045,0
Hyder,Southeast,2010,48,0,0,0,0,0,1711.790371,0.122774639,1,1711.790371,0.280661724,0.091384485,156.4310808,No data for post-retrofit available.  Uses regional averages
Igiugig,Bristol Bay,2010,16,3,1493.333333,0.089045305,398.9229673,18,1253.745741,0.09271879,10,1253.745741,0.23348266,0.07107056,891.0441243,No data for post-retrofit available.  Uses regional averages
Iliamna,Bristol Bay,2010,39,0,0,0,0,25,1253.745741,0.164330046,35,1130.388889,0.323495447,0.122933244,4863.683072,0
Ivanof Bay,Bristol Bay,2010,2,0,0,0,0,0,1253.745741,0.136496995,0,1253.745741,0.23348266,0.10358654,0,0
Juneau,Southeast,2010,12187,692,1949.901288,0.076215832,102840.4381,2858,1728.052154,0.130535052,1914,1698.830478,0.275549213,0.090704757,294932.0974,"includes Douglas, Auke Bay"
Kake,Southeast,2010,213,2,2315,0.069209173,320.4384725,67,1122.38806,0.198759771,98,1104.888889,0.386093964,0.09834236,10648.42329,0
Kaktovik,North Slope,2010,72,9,914.8888889,0.084727734,697.6481652,24,1211.185368,0.186555168,17,1277.933571,0.248341489,0.125872293,2734.559294,0
Kaltag,Yukon-Koyukuk/Upper Tanana,2010,70,6,1264,0.069368847,526.0933346,7,701.8571429,0.208771487,49,480,0.32640461,0.140627511,3307.55906,0
Karluk,Kodiak,2010,12,0,0,0,0,2,1817.021755,0.087996652,3,1120,0.258583994,0.075981856,255.2990365,0
Kasaan,Southeast,2010,23,0,0,0,0,7,1085.714286,0.062771666,1,1200,0.280661724,0.056625,67.95,0
Kasigluk,Lower Yukon-Kuskokwim,2010,113,0,0,0,0,0,1045.957276,0.166638146,0,1045.957276,0.33369832,0.115472306,0,0
Kenny Lake,Copper River/Chugach,2010,145,2,1830.28,0.06453275,236.2260033,29,1404.182069,0.154314146,23,1236.512727,0.299936852,0.151259373,4301.785224,0
Ketchikan,Southeast,2010,3259,264,2043.612167,0.0777011,41920.80122,1043,1719.193013,0.125981419,895,1615.777056,0.285812019,0.085933468,124270.1465,Includes Ward Cove
Kiana,Northwest Arctic,2010,101,6,1213.166667,0.074424088,541.732934,29,855.2068966,0.211858723,55,836.0416667,0.331439503,0.127326101,5854.745893,0
King Cove,Aleutians,2010,181,4,3221.5,0.060170941,775.362749,64,1311.088125,0.13258586,61,1220.34037,0.320659103,0.079309815,5903.883112,0
King Salmon,Bristol Bay,2010,157,4,2071.25,0.104257511,863.7734801,31,1563.254839,0.155841861,22,1447.445,0.23348266,0.119142433,3793.946625,0
Kipnuk,Lower Yukon-Kuskokwim,2010,153,0,0,0,0,21,998.8571429,0.102332197,91,991.0588235,0.33369832,0.065241342,5883.878679,0
Kivalina,Northwest Arctic,2010,85,0,0,0,0,50,752.16,0.198117531,58,732.9473684,0.331439503,0.109347991,4648.486702,0
Klawock,Southeast,2010,297,12,1918,0.052807906,1215.426775,101,1108.43297,0.145475502,98,1064.698046,0.261905981,0.100359425,10471.54345,0
Klukwan,Southeast,2010,41,0,0,0,0,0,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
Kobuk,Northwest Arctic,2010,36,0,0,0,0,20,963.125,0.208108709,21,920.5833333,0.331439503,0.129350028,2500.627086,0
Kodiak,Kodiak,2010,2039,435,1955.328944,0.074413324,63293.59866,610,1730.213536,0.1338726,357,1652.39408,0.25993468,0.099008848,58405.7836,0
Kodiak Station,Kodiak,2010,332,0,0,0,0,0,1817.021755,0.106045619,0,1817.021755,0.258583994,0.098665546,0,0
Kokhanok,Bristol Bay,2010,52,4,1315.25,0.103995516,547.1204108,29,848.1048276,0.15926066,43,817.9,0.23348266,0.102318122,3598.497642,0
Koliganek,Bristol Bay,2010,55,3,956.3333333,0.190758049,547.2848438,2,1253.745741,0.136496995,0,1253.745741,0.23348266,0.10358654,0,0
Kongiganak,Lower Yukon-Kuskokwim,2010,94,0,0,0,0,0,1045.957276,0.166638146,28,1045.957276,0.33369832,0.115472306,3381.814752,No data for post-retrofit available.  Uses regional averages
Kotlik,Lower Yukon-Kuskokwim,2010,128,0,0,0,0,39,890.4358974,0.167066364,37,861.6969697,0.33369832,0.126991399,4048.83985,0
Kotzebue,Northwest Arctic,2010,954,30,1335.066667,0.101221056,4054.105754,162,1405.925432,0.158329235,183,1301.990506,0.250176965,0.11774762,28055.04977,0
Koyuk,Bering Straits,2010,89,1,1040,0.062278846,64.77,0,1243.088743,0.150946996,0,1243.088743,0.326127715,0.116946092,0,0
Koyukuk,Yukon-Koyukuk/Upper Tanana,2010,42,0,0,0,0,3,1121.814623,0.246540221,12,1121.814623,0.32640461,0.152397642,2051.542836,0
Kupreanof,Southeast,2010,15,0,0,0,0,1,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
Kwethluk,Lower Yukon-Kuskokwim,2010,172,13,1240.615385,0.08367491,1349.508947,34,716,0.166638146,55,681.0769231,0.639313725,0.082175453,3078.229255,0
Kwigillingok,Lower Yukon-Kuskokwim,2010,82,0,0,0,0,30,1107.466667,0.129697231,30,1107.466667,0.33369832,0.111091243,3690.89546,0
Lake Minchumina,Yukon-Koyukuk/Upper Tanana,2010,6,0,0,0,0,0,1121.814623,0.246540221,0,1121.814623,0.32640461,0.152397642,0,0
Larsen Bay,Kodiak,2010,34,3,1114,0.065044883,217.38,0,1817.021755,0.106045619,0,1817.021755,0.258583994,0.098665546,0,0
Levelock,Bristol Bay,2010,27,0,0,0,0,22,1010.136364,0.173673772,27,963.7647059,0.23348266,0.117556502,3059.013811,0
Lime Village,Lower Yukon-Kuskokwim,2010,11,0,0,0,0,1,1045.957276,0.166638146,10,968,0.33369832,0.047386364,458.7,0
Livengood,Yukon-Koyukuk/Upper Tanana,2010,7,0,0,0,0,0,1121.814623,0.246540221,0,1121.814623,0.32640461,0.152397642,0,0
Lower Kalskag,Lower Yukon-Kuskokwim,2010,75,0,0,0,0,25,849.12,0.193575154,45,880.2,0.485861611,0.091387768,3619.778094,0
Lutak,Southeast,2010,25,0,0,0,0,0,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
Manley Hot Springs,Yukon-Koyukuk/Upper Tanana,2010,41,1,971,0.094119464,91.39,6,1121.814623,0.246540221,8,840,0.32640461,0.131709811,885.0899289,0
Manokotak,Bristol Bay,2010,121,5,4496.8,0.077648291,1745.84417,84,840.5946429,0.121269194,83,819.6307895,0.23348266,0.093752953,6377.952966,0
Marshall,Lower Yukon-Kuskokwim,2010,100,1,5610,0.049040998,275.12,17,822.0588235,0.275649394,17,883,0.33369832,0.183296613,2751.465453,0
McCarthy,Copper River/Chugach,2010,20,0,0,0,0,7,1845.151618,0.154314146,1,1438.75,0.299936852,0.12871213,185.1845767,0
McGrath,Yukon-Koyukuk/Upper Tanana,2010,147,1,1140,0.085149123,97.07,20,1121.814623,0.246540221,70,1152,0.32640461,0.135488043,10925.75583,0
Mekoryuk,Lower Yukon-Kuskokwim,2010,70,0,0,0,0,0,1045.957276,0.166638146,20,1045.957276,0.33369832,0.115472306,2415.581966,0
Mendeltna,Copper River/Chugach,2010,19,0,0,0,0,0,1845.151618,0.154314146,0,1845.151618,0.299936852,0.117632349,0,0
Mentasta Lake,Copper River/Chugach,2010,46,1,1247,0.139975942,174.55,12,1094.5,0.328365437,10,1109.3,0.299936852,0.151278948,1678.137375,0
Metlakatla,Southeast,2010,493,0,0,0,0,95,1084.910421,0.105612808,148,1054.954828,0.165166374,0.08676091,13546.26848,0
Minto,Yukon-Koyukuk/Upper Tanana,2010,65,1,1312,0.071501524,93.81,14,970.2857143,0.246540221,23,949,0.32640461,0.116201285,2536.325453,0
Mosquito Lake,Southeast,2010,138,0,0,0,0,0,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
Mountain Village,Lower Yukon-Kuskokwim,2010,184,0,0,0,0,23,853.3478261,0.229273798,10,760,0.33369832,0.152994998,1162.761987,0
Mud Bay,Southeast,2010,104,0,0,0,0,0,1711.790371,0.122774639,0,1711.790371,0.280661724,0.091384485,0,0
Naknek,Bristol Bay,2010,231,11,1704.181818,0.134463741,2520.657297,83,1481.234458,0.162113147,57,1293.456,0.28028872,0.118770755,8756.610474,0
Napakiak,Lower Yukon-Kuskokwim,2010,96,0,0,0,0,36,983.7777778,0.170374087,29,991.8181818,0.2647663,0.129725023,3731.245459,0
Napaskiak,Lower Yukon-Kuskokwim,2010,94,0,0,0,0,14,988,0.132794099,19,1015.5,0.33369832,0.091466977,1764.809597,0
Naukati Bay,Southeast,2010,49,1,1569,0.039668579,62.24,7,1711.790371,0.122774639,5,1122.4,0.280661724,0.099747511,559.7830307,0
Nelchina,Copper River/Chugach,2010,30,0,0,0,0,0,1845.151618,0.154314146,0,1845.151618,0.299936852,0.117632349,0,0
Nelson Lagoon,Aleutians,2010,22,0,0,0,0,8,1280.005262,0.090754281,8,1537.6425,0.320659103,0.062789905,772.3874128,0
New Allakaket,Yukon-Koyukuk/Upper Tanana,2010,18,0,0,0,0,0,1121.814623,0.246540221,0,1121.814623,0.32640461,0.152397642,0,0
New Stuyahok,Bristol Bay,2010,114,54,825.4444444,0.191661138,8543.103557,66,903.5125758,0.124881601,71,908.7973846,0.23348266,0.09862167,6363.525217,0
Newhalen,Bristol Bay,2010,50,4,1161,0.107314815,498.37,26,1019.076923,0.148457557,33,1003,0.23348266,0.118661013,3927.560885,0
Newtok,Lower Yukon-Kuskokwim,2010,70,0,0,0,0,0,1045.957276,0.166638146,0,1045.957276,0.33369832,0.115472306,0,0
Nightmute,Lower Yukon-Kuskokwim,2010,59,0,0,0,0,34,812.3529412,0.166638146,28,808.2857143,0.33369832,0.078311807,1772.35281,0
Nikolai,Yukon-Koyukuk/Upper Tanana,2010,37,1,1184,0.08625,102.12,1,1121.814623,0.246540221,29,1040,0.32640461,0.055125,1662.57,0
Nikolski,Aleutians,2010,13,0,0,0,0,2,920,0.092663761,13,920,0.212373215,0.073969338,884.6732872,0
Noatak,Northwest Arctic,2010,114,0,0,0,0,34,840.2941176,0.208108709,71,843.9393939,0.423185,0.113682364,6811.812808,0
Nome,Bering Straits,2010,1216,59,1486.830508,0.086594017,7596.286992,186,1251.073333,0.150563426,107,1090.328247,0.250896262,0.108197366,12622.85893,0
Nondalton,Bristol Bay,2010,57,1,1952,0.094313525,184.1,37,971.2432432,0.156832287,52,971.2432432,0.388975519,0.092904862,4692.127426,0
Noorvik,Northwest Arctic,2010,153,0,0,0,0,0,1150.504333,0.208108709,62,1150.504333,0.331439503,0.116576876,8315.576462,No data for post-retrofit available.  Uses regional averages
Northway,Yukon-Koyukuk/Upper Tanana,2010,27,6,1410.666667,0.078216079,662.0208936,20,1121.814623,0.246540221,17,1041.140625,0.32640461,0.157974941,2796.060195,"Wx for Northway evenly split between Northway, Northway Junction, Northway Village"
Northway Junction,Yukon-Koyukuk/Upper Tanana,2010,20,0,0,0,0,0,1121.814623,0.246540221,17,1121.814623,0.32640461,0.152397642,2906.352352,"Wx for Northway evenly split between Northway, Northway Junction, Northway Village"
Northway Village,Yukon-Koyukuk/Upper Tanana,2010,30,0,0,0,0,0,1121.814623,0.246540221,17,1121.814623,0.32640461,0.152397642,2906.352352,"Wx for Northway evenly split between Northway, Northway Junction, Northway Village"
Nuiqsut,North Slope,2010,114,14,1058.762857,0.076788827,1138.216214,8,1211.185368,0.154535119,17,1137,0.248341489,0.136265895,2633.883491,0
Nulato,Yukon-Koyukuk/Upper Tanana,2010,92,1,1184,0.073766892,87.34,0,1121.814623,0.246540221,51,1121.814623,0.32640461,0.152397642,8719.057055,No data for post-retrofit available.  Uses regional averages
Nunam Iqua,Lower Yukon-Kuskokwim,2010,43,1,5418,0.078508675,425.36,23,717.4782609,0.206599593,17,729.7058824,0.33369832,0.10535137,1306.883741,0
