system type,HDD kWh,HDD HF,pop kWh,pop HF
Circulating/Gravity,8.21176678517469,0.629599405815875,32.1503755648685,1.33444201080967
Circulating/Vac,0.,0.,422.891702402415,21.6617552099644
Haul,0.,0.,84.2367168757766,13.7077691796194
Pressure/Gravity,6.28947183387945,0.59225706409649,29.9050431096564,2.69919039139256
Wash/HB,1.46059928502404,0.657866397847172,51.7595316721317,-6.65876692952854
