#2013 ACS data (B25040),,,,,,,,,,,,,,,,,,,,
Community Name,Borough/Census Area,Total,Error Total,Utility Gas,Error Utility gas,LP,Error LP,Electricity,Error Electricity,Fuel Oil,Error Fuel Oil,Coal,Error Coal,Wood,Error Wood,Solar,Error Solar,Other,Error Other,No fuel used
Aniak,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Anton Larsen Bay,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Anvik,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Arctic Village,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Atka,Aleutians West Census Area,1,0.0968054211,0.0193610842,0.0145208132,0.013552759,0.0096805421,0.0387221684,0.01839303,0.8741529526,0.0880929332,0,0.0125847047,0.0145208132,0.0096805421,0,0.0125847047,0.0377541142,0.0174249758,0.0019361084
Atmautluak,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Atqasuk,North Slope Borough,1,0.083919598,0.6658291457,0.0547738693,0.0005025126,0.0015075377,0.027638191,0.0165829146,0.3035175879,0.0467336683,0,0.0065326633,0,0.0065326633,0,0.0065326633,0.0025125628,0.0020100503,0
Attu Station,Aleutians West Census Area,1,0.0968054211,0.0193610842,0.0145208132,0.013552759,0.0096805421,0.0387221684,0.01839303,0.8741529526,0.0880929332,0,0.0125847047,0.0145208132,0.0096805421,0,0.0125847047,0.0377541142,0.0174249758,0.0019361084
Auke Bay,Juneau City and Borough,1,0.0177700636,0.0234730143,0.0078518886,0.0299198281,0.010083478,0.2255558311,0.0214067278,0.6707992396,0.0264484668,0.0011571204,0.001983635,0.0334738408,0.0115712042,0,0.0016530292,0.0101661294,0.005041739,0.0054549963
Ayakulik,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Badger,Fairbanks North Star Borough,1,0.0178992919,0.0543160616,0.0081488142,0.0139934809,0.0043835001,0.0694335169,0.009385186,0.7566595482,0.0226480836,0.0169439137,0.0050297853,0.0701079015,0.0103405642,0.0003652917,0.0006181859,0.0141620771,0.0043835001,0.0040182084
Barrow,North Slope Borough,1,0.083919598,0.6658291457,0.0547738693,0.0005025126,0.0015075377,0.027638191,0.0165829146,0.3035175879,0.0467336683,0,0.0065326633,0,0.0065326633,0,0.0065326633,0.0025125628,0.0020100503,0
Bear Creek,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Beaver,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Belkofski,Aleutians East Borough,1,0.3977011494,0.0137931034,0.0229885057,0.0022988506,0.0114942529,0.0275862069,0.0252873563,0.9218390805,0.3563218391,0,0.0206896552,0.0298850575,0.0252873563,0,0.0206896552,0.0045977011,0.0068965517,0
Bells Flat,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Beluga,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Bethel,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Bettles,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Big Delta,Southeast Fairbanks Census Area,1,0.0657781599,0.035683577,0.0227858985,0.0047291488,0.0073086844,0.0494411006,0.024505589,0.5352536543,0.056749785,0.0030094583,0.0042992261,0.3632846088,0.049011178,0.0004299226,0.0008598452,0.0021496131,0.0038693035,0.0060189166
Big Lake,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Big Salt,Prince of Wales-Hyder Census Area,1,0.0428571429,0.00625,0.0040178571,0.0325892857,0.0116071429,0.1299107143,0.025,0.4830357143,0.0415178571,0.0008928571,0.0013392857,0.3424107143,0.0379464286,0,0.0058035714,0.0040178571,0.0026785714,0.0008928571
Bill Moore's Slough,Kusilvak Census Area,1,0.0355504587,0.0172018349,0.0103211009,0.0040137615,0.0040137615,0.0166284404,0.0086009174,0.7672018349,0.0361238532,0.001146789,0.0017201835,0.190940367,0.0206422018,0,0.0074541284,0.0028669725,0.0028669725,0
Birch Creek,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Birchwood,Anchorage Municipality,1,0.0076134895,0.821591514,0.0109307277,0.0085164626,0.0015683218,0.1346950802,0.007356855,0.0230971029,0.0036879325,0.0002186146,0.0002471295,0.0062067523,0.0017774314,0,0.0002091096,0.0031461486,0.0012356475,0.0025283248
Boundary,Southeast Fairbanks Census Area,1,0.0657781599,0.035683577,0.0227858985,0.0047291488,0.0073086844,0.0494411006,0.024505589,0.5352536543,0.056749785,0.0030094583,0.0042992261,0.3632846088,0.049011178,0.0004299226,0.0008598452,0.0021496131,0.0038693035,0.0060189166
Brevig Mission,Nome Census Area,1,0.0368251698,0.0128709331,0.0075080443,0.0035752592,0.0035752592,0.0278870218,0.0132284591,0.9138362531,0.0350375402,0,0.004647837,0.040757955,0.0107257776,0,0.004647837,0.0010725778,0.0014301037,0
Bristol Bay Borough,Bristol Bay Borough,1,0.1302083333,0,0.0234375,0,0.0234375,0,0.0234375,0.9635416667,0.125,0,0.0234375,0.0130208333,0.0104166667,0,0.0234375,0.0182291667,0.015625,0.0052083333
Buckland,Northwest Arctic Borough,1,0.0382932166,0.0185995624,0.010940919,0.0016411379,0.0032822757,0.0251641138,0.0098468271,0.851750547,0.0399343545,0,0.0071115974,0.0596280088,0.0120350109,0.0010940919,0.0016411379,0.0421225383,0.0169584245,0
Buffalo Soapstone,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Butte,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Candle,Northwest Arctic Borough,1,0.0382932166,0.0185995624,0.010940919,0.0016411379,0.0032822757,0.0251641138,0.0098468271,0.851750547,0.0399343545,0,0.0071115974,0.0596280088,0.0120350109,0.0010940919,0.0016411379,0.0421225383,0.0169584245,0
Cantwell,Denali Borough,1,0.1201117318,0.0139664804,0.0223463687,0,0.0125698324,0.0363128492,0.0279329609,0.5656424581,0.1131284916,0.155027933,0.0642458101,0.2290502793,0.0726256983,0,0.0125698324,0,0.0125698324,0
Canyon Village,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Cape Lisburne,North Slope Borough,1,0.083919598,0.6658291457,0.0547738693,0.0005025126,0.0015075377,0.027638191,0.0165829146,0.3035175879,0.0467336683,0,0.0065326633,0,0.0065326633,0,0.0065326633,0.0025125628,0.0020100503,0
Cape Yakataga,Yakutat City and Borough,1,0.1653543307,0.0393700787,0.0433070866,0.0039370079,0.0118110236,0.0433070866,0.031496063,0.7795275591,0.1417322835,0,0.0354330709,0.1299212598,0.0590551181,0,0.0354330709,0.0039370079,0.0078740157,0
Caswell,Anchorage Municipality,1,0.0076134895,0.821591514,0.0109307277,0.0085164626,0.0015683218,0.1346950802,0.007356855,0.0230971029,0.0036879325,0.0002186146,0.0002471295,0.0062067523,0.0017774314,0,0.0002091096,0.0031461486,0.0012356475,0.0025283248
Central,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Chalkyitsik,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Chase,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Chatanika,Fairbanks North Star Borough,1,0.0178992919,0.0543160616,0.0081488142,0.0139934809,0.0043835001,0.0694335169,0.009385186,0.7566595482,0.0226480836,0.0169439137,0.0050297853,0.0701079015,0.0103405642,0.0003652917,0.0006181859,0.0141620771,0.0043835001,0.0040182084
Chefornak,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Chena Hot Springs,Fairbanks North Star Borough,1,0.0178992919,0.0543160616,0.0081488142,0.0139934809,0.0043835001,0.0694335169,0.009385186,0.7566595482,0.0226480836,0.0169439137,0.0050297853,0.0701079015,0.0103405642,0.0003652917,0.0006181859,0.0141620771,0.0043835001,0.0040182084
Chena Ridge,Fairbanks North Star Borough,1,0.0178992919,0.0543160616,0.0081488142,0.0139934809,0.0043835001,0.0694335169,0.009385186,0.7566595482,0.0226480836,0.0169439137,0.0050297853,0.0701079015,0.0103405642,0.0003652917,0.0006181859,0.0141620771,0.0043835001,0.0040182084
Chenega,Valdez-Cordova Census Area,1,0.0481892523,0.0464369159,0.0181074766,0.0292056075,0.0204439252,0.0227803738,0.0143107477,0.6787383178,0.0514018692,0.003796729,0.0035046729,0.2129088785,0.0362149533,0,0.003796729,0.003796729,0.004088785,0.0023364486
Chevak,Kusilvak Census Area,1,0.0355504587,0.0172018349,0.0103211009,0.0040137615,0.0040137615,0.0166284404,0.0086009174,0.7672018349,0.0361238532,0.001146789,0.0017201835,0.190940367,0.0206422018,0,0.0074541284,0.0028669725,0.0028669725,0
Chickaloon,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Chicken,Southeast Fairbanks Census Area,1,0.0657781599,0.035683577,0.0227858985,0.0047291488,0.0073086844,0.0494411006,0.024505589,0.5352536543,0.056749785,0.0030094583,0.0042992261,0.3632846088,0.049011178,0.0004299226,0.0008598452,0.0021496131,0.0038693035,0.0060189166
Chignik,Lake and Peninsula Borough,1,0.1161417323,0,0.0177165354,0,0.0177165354,0.0118110236,0.0118110236,0.8661417323,0.1122047244,0,0.0177165354,0.1141732283,0.031496063,0,0.0177165354,0.0078740157,0.0078740157,0
Chignik Lagoon,Lake and Peninsula Borough,1,0.1161417323,0,0.0177165354,0,0.0177165354,0.0118110236,0.0118110236,0.8661417323,0.1122047244,0,0.0177165354,0.1141732283,0.031496063,0,0.0177165354,0.0078740157,0.0078740157,0
Chignik Lake,Lake and Peninsula Borough,1,0.1161417323,0,0.0177165354,0,0.0177165354,0.0118110236,0.0118110236,0.8661417323,0.1122047244,0,0.0177165354,0.1141732283,0.031496063,0,0.0177165354,0.0078740157,0.0078740157,0
Chiniak,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Chisana,Valdez-Cordova Census Area,1,0.0481892523,0.0464369159,0.0181074766,0.0292056075,0.0204439252,0.0227803738,0.0143107477,0.6787383178,0.0514018692,0.003796729,0.0035046729,0.2129088785,0.0362149533,0,0.003796729,0.003796729,0.004088785,0.0023364486
