Community,Buildings,Estimate/Measured,Source
Shageluk,27,M,ANTHC
Shaktoolik,24,M,Building Inventory
Shishmaref,36,M,RACEE
Shungnak,25,M,ANTHC
Silver Springs,25,E,Nonres Model
Sitka,302,M,City of Sitka
Skagway,57,E,Nonres Model
Slana,14,E,Nonres Model
Sleetmute,11,M,ANTHC
South Naknek,38,M,ANTHC
Stebbins,16,M,Building Inventory
Stevens Village,11,M,Building Inventory
Stony River,20,M,ANTHC
Takotna,21,M,Building Inventory
Tanacross,10,M,Building Inventory
Tanana,28,M,Building Inventory
Tatitlek,16,M,Building Inventory
Tazlina,20,M,Building Inventory
Teller,25,M,ANTHC
Tenakee Springs,22,M,Regional Planners
Tetlin,11,M,ANTHC
Thorne Bay,42,M,Building Inventory
Togiak,41,M,Building Inventory
Tolsona,13,E,Nonres Model
Tonsina,15,E,Nonres Model
Tok,62,E,Nonres Model
Toksook Bay,37,M,ANTHC
Tuluksak,12,M,Building Inventory
Tuntutuliak,12,M,ANTHC
Tununak,20,M,ANTHC
Twin Hills,19,M,Building Inventory
Ugashik,4,E,Building Inventory
Unalakleet,46,M,Building Inventory
Unalaska,241,M,City of Unalaska
Upper Kalskag,17,M,ANTHC
Valdez,206,M,City of Valdez
Venetie,20,M,ANTHC
Wainwright,51,M,North Slope Borough
Wales,20,M,Building Inventory
Whale Pass,9,M,Building Inventory
White Mountain,21,M,Building Inventory
Willow Creek,14,E,Nonres Model
Womens Bay,63,E,Nonres Model
Wrangell,104,E,Nonres Model
Yakutat,91,M,City of Yakutat
