community_names,purchased_from,Energy Source
Skagway,GOAT LAKE-KASIDAYA HYDRO,Hydro
Skagway,GoatLake/Kasidaya,Hydro
Skagway,GOATLAKEHYDRO/KASIDAYA,Hydro
Skagway,GOAT LAKE/KASIDAYA HYDRO,Hydro
Skagway,GOAT LAKE/KASIDAYA (HYDRO),Hydro
Skagway,GOAT LAKE & KASIDAYA-HYDRO,Hydro
Skagway,GOAT LAKE & KASIDAYA - HYDRO,Hydro
Skagway,GOAT LAKE&KASIDAYA- HYDRO,Hydro
Skagway,GOAT LAKE/KASIDAYA-BOTH HYDRO,Hydro
Skagway,GOAT LAKE & KASIDAYA- HYDRO,Hydro
Skagway,Goat Lake Hydro/Kasidaya Hydro,Hydro
Skagway,Goat Loake Hydro/Kasidaya Hydr,Hydro
Skagway,Goat Lake Hydro-Kasidaya Hydro,Hydro
"Thorne Bay, Kasaan",ALASKA POWER CO,Hydro
"Thorne Bay, Kasaan",ALASKA POWER CO.,Hydro
"Thorne Bay, Kasaan",ALASKA POWER COMPANY,Hydro
"Thorne Bay, Kasaan",APC,Hydro
Unalaska,"UNISEA, INC",Diesel
Unalaska,UNISEA INC.,Diesel
Unalaska,"Unisea, Inc.",Diesel
Unalaska,UNISEA,Diesel
Unalaska,UNISEA INC,Diesel
Unalaska,Unisea/RandallBaker,Diesel
